central_relief_d_mm,shaft_to_aluminum_radial_clearance_mm,minimum_vertical_ligament_mm,side_ligament_mm,net_area_mm2,net_area_change_pct,Iy_mm4,Iy_change_pct,Iz_mm4,Iz_change_pct,B11_scaled_nominal_stress_sensitivity_MPa,MS_7075_yield_on_scaled_sensitivity
40,1.0,19.0,33.0,7011.3629385640825,-1.7174668864999965,4066212.2938564084,-0.5699891423394554,7615940.293856408,-0.3051324633591701,56.46421052631579,7.9082977573125035
42,2.0,18.0,32.0,6882.557639766901,-3.5230089979487067,4039130.979784301,-1.2322013333501691,7588858.979784301,-0.6596347198060681,59.60111111111111,7.439439980611846
44,3.0,17.0,31.0,6747.46915566254,-5.416626334346142,4007891.7678351672,-1.9960854984686804,7557619.767835167,-1.0685650655087753,63.10705882352941,6.970582203911188
46,4.0,16.0,30.0,6606.097486250999,-7.398318895692291,3972089.392556695,-2.8715514863235314,7521817.392556694,-1.5372285427899368,67.05125,6.5017244272105295
48,5.0,15.0,29.0,6458.442631532279,-9.468086681987165,3931299.7389406483,-3.8689700687353445,7481027.738940648,-2.0711769401267177,71.52133333333333,6.032866650509871
50,6.0,14.0,28.0,6304.504591506379,-11.625929693230741,3885079.842422872,-4.999172940716711,7434807.842422872,-2.6762087921508138,76.63,5.564008873809214
