candidate,role,lower_OD_mm,retained_ID_mm,upper_OD_mm,taper_start_A_mm,taper_end_A_mm,transition_length_mm,maximum_geometric_half_angle_deg,B7A_Kt_peak_capacity,closure_annulus_MS_ultimate_Kt3,solid_neck_MS_ultimate_Kt3,head_width_reserve_each_side_mm,added_annular_mass_kg_vs_74mm,status
PRIMARY_106,PRIMARY_ANALYSIS_CANDIDATE_NOT_FROZEN,74.0,64.0,106.0,275.0,973.780356685791,698.780356685791,1.9670821894460575,1.64019775390625,0.1734015413358145,0.3457472142660667,4.5,4.238457216916993,READY_FOR_GEOMETRY_SPECIFIC_LOCAL_ANALYSIS
COMPARATOR_104,MASS_LEAN_COMPARATOR,74.0,64.0,104.0,275.0,973.780356685791,698.780356685791,1.844227278702398,1.60980224609375,0.0948467172723626,0.2711074417948922,5.5,3.9391849130387016,READY_FOR_GEOMETRY_SPECIFIC_LOCAL_ANALYSIS
