journal_diameter_mm,ligament_mm,station_above_U_mm,support_span_mm,bearing_width_mm,max_Kt_checked,full_Kt_coverage,ROBUST_WITHIN_SCREEN,worst_MS_ultimate_strength,worst_strength_Kt,worst_strength_case,worst_MS_ultimate_bearing,ultimate_bearing_pressure_MPa
24.0,15.0,525.780356685791,120.0,20.0,3.0,True,False,-0.5996349491897273,3.0,LC5,0.424699057293644,290.36689220244017
24.0,15.0,525.780356685791,120.0,25.0,3.0,True,False,-0.6565195240274644,3.0,LC5,0.7808738216170548,232.29351376195214
24.0,15.0,525.780356685791,120.0,30.0,3.0,True,False,-0.6992505395270858,3.0,LC5,1.1370485859404655,193.57792813496013
24.0,15.0,525.780356685791,150.0,20.0,3.0,True,False,-0.5075909129994673,3.0,LC5,0.754806315617389,235.7442151355352
24.0,15.0,525.780356685791,150.0,25.0,3.0,True,False,-0.5774653935497978,3.0,LC5,1.1935078945217361,188.59537210842817
24.0,15.0,525.780356685791,150.0,30.0,3.0,True,False,-0.6299733945729209,3.0,LC5,1.6322094734260832,157.1628100903568
24.0,15.0,525.780356685791,180.0,20.0,3.0,True,False,-0.4184612152221576,3.0,LC5,1.075385193966858,199.32947329136042
24.0,15.0,525.780356685791,180.0,25.0,3.0,True,False,-0.500882960263499,3.0,LC5,1.5942314924585723,159.46357863308833
24.0,15.0,525.780356685791,180.0,30.0,3.0,True,False,-0.5628416092304098,3.0,LC5,2.1130777909502867,132.8863155275736
24.0,20.0,530.780356685791,120.0,20.0,3.0,True,False,-0.6012046304584286,3.0,LC5,0.41907792376659025,291.5170694024161
24.0,20.0,530.780356685791,120.0,25.0,3.0,True,False,-0.6578673956138185,3.0,LC5,0.773847404708238,233.21365552193285
24.0,20.0,530.780356685791,120.0,30.0,3.0,True,False,-0.7004315259640967,3.0,LC5,1.1286168856498855,194.34471293494406
24.0,20.0,530.780356685791,150.0,20.0,3.0,True,False,-0.5094907929246644,3.0,LC5,0.7479827937896841,236.66447922706266
24.0,20.0,530.780356685791,150.0,25.0,3.0,True,False,-0.5790974813925096,3.0,LC5,1.184978492237105,189.33158338165012
24.0,20.0,530.780356685791,150.0,30.0,3.0,True,False,-0.6314038535579187,3.0,LC5,1.6219741906845262,157.77631948470844
24.0,20.0,530.780356685791,180.0,20.0,3.0,True,False,-0.4206698897507958,3.0,LC5,1.0674300911734695,200.09645760514908
24.0,20.0,530.780356685791,180.0,25.0,3.0,True,False,-0.5027810807155051,3.0,LC5,1.5842876139668371,160.07716608411926
24.0,20.0,530.780356685791,180.0,30.0,3.0,True,False,-0.5645057380021108,3.0,LC5,2.1011451367602043,133.39763840343272
26.0,5.0,516.780356685791,120.0,20.0,3.0,True,False,-0.4876111514677487,3.0,LC5,0.5545070627023516,266.12001162024427
26.0,5.0,516.780356685791,120.0,25.0,3.0,True,False,-0.5603762816078073,3.0,LC5,0.9431338283779396,212.89600929619542
26.0,5.0,516.780356685791,120.0,30.0,3.0,True,False,-0.6150444172565586,3.0,LC5,1.3317605940535273,177.41334108016287
