nominal_thread_root_diameter_mm,root_area_mm2,limit_axial_stress_MPa,MS_limit_yield,ultimate_axial_stress_MPa,MS_ultimate
12.0,113.09733552923255,78.46126487839652,18.334381141460415,117.69189731759477,14.82097019793421
16.0,201.06192982974676,44.13446149409804,33.37223314037407,66.20169224114706,27.12616924077193
20.0,314.1592653589793,28.246055356222744,52.70661428183449,42.36908303433411,42.947139438706145
24.0,452.3893421169302,19.61531621959913,76.33752456584166,29.42297432939869,62.28388079173684
28.0,615.7521601035994,14.411252732766707,104.2649639923956,21.61687909915006,85.13639329986403
30.0,706.8583470577034,12.553802380543443,119.83988213412759,18.830703570815164,97.88106373708881
