check,case,load_level,station_m,lever_y_m,Kt,N_kN,Mb_kNm,T_struct_kNm,T_geom_kNm,sigma_axial_MPa,sigma_bending_MPa,tau_torsion_MPa,vm_MPa,vm_geom_torsion_sens_MPa,allowable_MPa,MS,status,delta_x_mm,delta_z_mm,delta_resultant_mm
KNUCKLE_BIG_END_KT_SCREEN,LC2A,ultimate,0.03,,1.5,37.53,4.897134734225335,1.1259,,12.252482080489912,172.45222055693876,19.824240669556715,187.86917983201627,,1862.0,8.911152013677349,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC2A,ultimate,0.05,,1.5,37.53,4.973831303824673,1.1259,,55.30634272443365,869.9668525526071,98.46490757897118,940.8594475115774,,1862.0,0.9790416144777969,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC2A,ultimate,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,-0.03238456469808782,0.12953825879235129,0.133524980889865
AXLE_A_BASELINE_REGRESSION,LC2B,limit,0.0,0.12,1.0,0.0,3.094803082588616,0.0,-1.094625,0.0,320.77290330963683,0.0,320.77290330963683,335.48407826755295,1517.0,3.729202449296862,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC2B,limit,0.0,0.07999999999999999,1.5,0.0,2.063202055059077,0.0,-1.094625,0.0,320.7729033096367,0.0,320.7729033096367,353.011976939451,1517.0,3.7292024492968636,PASS,,,
KNUCKLE_BIG_END_KT_SCREEN,LC2B,limit,0.03,,1.5,25.02,3.2647564894835575,-0.7506,,8.168321386993275,114.96814703795921,13.216160446371141,125.2461198880109,,1517.0,11.112151668701825,PASS,,,
PISTON_SMALL_END_KT_SCREEN,LC2B,limit,0.05,,1.5,25.02,3.3158875358831157,-0.7506,,36.870895149622434,579.9779017017381,65.64327171931413,627.2396316743851,,1517.0,1.4185334015812168,PASS,,,
AXLE_WHEEL_CENTER_DEFLECTION_REPORT,LC2B,limit,0.0,0.07999999999999999,,0.0,,,,,,,,,,,REPORT,0.021589709798725213,0.08635883919490085,0.08901665392657665
AXLE_A_BASELINE_REGRESSION,LC2B,ultimate,0.0,0.12,1.0,0.0,4.6422046238829235,0.0,-1.6419375,0.0,481.1593549644551,0.0,481.1593549644551,503.2261174013293,1862.0,2.8698198025008836,PASS,,,
AXLE_KNUCKLE_FACE_KT_SCREEN,LC2B,ultimate,0.0,0.07999999999999999,1.5,0.0,3.0948030825886157,0.0,-1.6419375,0.0,481.1593549644551,0.0,481.1593549644551,529.5179654091766,1862.0,2.8698198025008836,PASS,,,
