level,case,side,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,Ry_kN,Rz_kN,R_kN,effective_half_head_thickness_mm,vertical_width_mm,lateral_width_mm,vertical_edge_ligament_mm,lateral_edge_ligament_mm,bearing_z_MPa,MS_bearing_z_nominal,net_z_MPa,MS_net_z,shearout_z_MPa,MS_shearout_z,bearing_y_MPa,MS_bearing_y_nominal,net_y_MPa,MS_net_y,shearout_y_MPa,MS_shearout_y
limit,LC0,LEFT,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,-0.0,-3.726382978723404,3.726382978723404,53.0,78.0,106.0,20.0,34.0,1.8502398106868938,270.8566518214,1.757727820152549,285.1648966541053,1.757727820152549,164.21738011586916,0.0,inf,0.0,inf,0.0,inf
limit,LC0,RIGHT,0.0,0.0,7.452765957446808,0.894331914893617,-0.0,-0.0,0.0,-3.726382978723404,3.726382978723404,53.0,78.0,106.0,20.0,34.0,1.8502398106868938,270.8566518214,1.757727820152549,285.1648966541053,1.757727820152549,164.21738011586916,0.0,inf,0.0,inf,0.0,inf
limit,LC1,LEFT,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,-0.0,-12.51,12.51,53.0,78.0,106.0,20.0,34.0,6.211519364448858,79.97857713828937,5.900943396226415,84.2406075139888,5.900943396226415,48.213687694088684,0.0,inf,0.0,inf,0.0,inf
limit,LC1,RIGHT,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,0.0,-12.51,12.51,53.0,78.0,106.0,20.0,34.0,6.211519364448858,79.97857713828937,5.900943396226415,84.2406075139888,5.900943396226415,48.213687694088684,0.0,inf,0.0,inf,0.0,inf
limit,LC2A,LEFT,-6.255,0.0,25.02,3.0023999999999997,7.4295661330349985,0.7505999999999999,5.004,-62.04044088689999,62.24191771982071,53.0,78.0,106.0,20.0,34.0,30.80458832517378,15.32873631325058,29.26435890891509,16.188143487632193,29.26435890891509,8.923579269454361,2.484607745779543,201.44644284572342,1.388457269700333,361.27258193445243,1.388457269700333,208.1581726998769
limit,LC2A,RIGHT,-6.255,0.0,25.02,3.0023999999999997,7.4295661330349985,0.7505999999999999,-5.004,37.02044088689999,37.357101861098066,53.0,78.0,106.0,20.0,34.0,18.381549596276063,26.364395877804736,17.46247211646226,27.80462723979446,17.46247211646226,15.630359290802161,2.484607745779543,201.44644284572342,1.388457269700333,361.27258193445243,1.388457269700333,208.1581726998769
limit,LC2B,LEFT,6.255,0.0,25.02,3.0023999999999997,-7.4295661330349985,-0.7505999999999999,-5.004,37.02044088689999,37.357101861098066,53.0,78.0,106.0,20.0,34.0,18.381549596276063,26.364395877804736,17.46247211646226,27.80462723979446,17.46247211646226,15.630359290802161,2.484607745779543,201.44644284572342,1.388457269700333,361.27258193445243,1.388457269700333,208.1581726998769
limit,LC2B,RIGHT,6.255,0.0,25.02,3.0023999999999997,-7.4295661330349985,-0.7505999999999999,5.004,-62.04044088689999,62.24191771982071,53.0,78.0,106.0,20.0,34.0,30.80458832517378,15.32873631325058,29.26435890891509,16.188143487632193,29.26435890891509,8.923579269454361,2.484607745779543,201.44644284572342,1.388457269700333,361.27258193445243,1.388457269700333,208.1581726998769
limit,LC3,LEFT,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,-0.0,-12.51,12.51,53.0,78.0,106.0,20.0,34.0,6.211519364448858,79.97857713828937,5.900943396226415,84.2406075139888,5.900943396226415,48.213687694088684,0.0,inf,0.0,inf,0.0,inf
limit,LC3,RIGHT,0.0,0.0,25.02,3.0023999999999997,-0.0,-0.0,0.0,-12.51,12.51,53.0,78.0,106.0,20.0,34.0,6.211519364448858,79.97857713828937,5.900943396226415,84.2406075139888,5.900943396226415,48.213687694088684,0.0,inf,0.0,inf,0.0,inf
