upper_OD_mm,annular_closure_limit_case,annular_closure_limit_vm_MPa,annular_closure_MS_limit,annular_closure_ultimate_case,annular_closure_ultimate_vm_MPa,annular_closure_MS_ultimate,annular_closure_Kt3_PASS,solid_neck_limit_case,solid_neck_limit_vm_MPa,solid_neck_MS_limit,solid_neck_ultimate_case,solid_neck_ultimate_vm_MPa,solid_neck_MS_ultimate,solid_neck_Kt3_PASS,head_root_to_root_width_mm,head_width_total_reserve_mm,head_width_reserve_each_side_mm,head_width_fit_PASS
90.0,LC4+,618.289720642084,-0.18646553030569146,LC4+,927.4345809631262,-0.3832449083298285,False,LC4+,462.6371080366683,0.08724525391969329,LC4+,693.9556620550024,-0.17573984726035186,False,115.0,25.0,12.5,True
96.0,LC4+,472.5893016199351,0.06434910455193021,LC4+,708.8839524299027,-0.19309782928601182,False,LC4+,381.2970082881219,0.3191816066385573,LC4+,571.9455124321829,9.52670606424455e-05,True,115.0,19.0,9.5,True
102.0,LC4+,374.2298234598143,0.34409383877983024,LC4+,561.3447351897213,0.018981677643556294,True,LC4+,317.9696422292976,0.5819120230266239,LC4+,476.9544633439466,0.19927591407717493,True,115.0,13.0,6.5,True
