upper_OD_mm,taper_start_A_mm,Kt_peak,station_A_mm,station_U_mm,profile_OD_mm,local_Kt,limit_case,limit_vm_MPa,MS_limit,ultimate_case,ultimate_vm_MPa,MS_ultimate,station_PASS
102.0,275.0,1.5,250.0,-225.0,74.0,1.0,LC4+,292.37427177639455,0.7203976155080098,LC4+,438.56140766459185,0.3042643287880471,True
102.0,275.0,1.5,260.0,-215.0,74.0,1.0,LC4+,297.07034420784856,0.6932016601699915,LC4+,445.6055163117729,0.28364658663649456,True
102.0,275.0,1.5,270.0,-205.0,74.0,1.0,LC4+,301.7683884424068,0.6668412572843054,LC4+,452.6525826636101,0.26366229180466916,True
102.0,275.0,1.5,280.0,-195.0,74.00428017260549,1.0142082510805563,LC4+,310.4289981908701,0.6203383154647357,LC4+,465.64349728630526,0.22840757646895793,True
102.0,275.0,1.5,290.0,-185.0,74.03815227966193,1.0420103692679676,LC4+,322.17378464962553,0.5612691782077455,LC4+,483.26067697443835,0.18362620269692553,True
102.0,275.0,1.5,300.0,-175.0,74.10495279409558,1.0689933088237769,LC4+,332.6722456953572,0.511998690929629,LC4+,499.0083685430358,0.146273361446982,True
102.0,275.0,1.5,310.0,-165.0,74.20369698580642,1.0951570697479838,LC4+,341.85907357426566,0.471366533410815,LC4+,512.7886103613985,0.11546939312257942,True
102.0,275.0,1.5,320.0,-155.0,74.3334001246944,1.1205016520405888,LC4+,349.6997222800674,0.438376892953771,LC4+,524.5495834201012,0.09045935423400531,True
102.0,275.0,1.5,330.0,-145.0,74.4930774806595,1.145027055701592,LC4+,356.1887792461281,0.41217250320068244,LC4+,534.283168869192,0.07059333575982851,True
102.0,275.0,1.5,340.0,-135.0,74.68174432360165,1.168733280730993,LC4+,361.34713987972236,0.3920132318396876,LC4+,542.0207098195837,0.055310230102453506,True
102.0,275.0,1.5,350.0,-125.0,74.89841592342081,1.1916203271287917,LC4+,365.2183359051069,0.37725834261150637,LC4+,547.8275038576604,0.04412428359679477,True
102.0,275.0,1.5,360.0,-115.0,75.14210755001697,1.2136881948949885,LC4+,367.8643803652119,0.36735173843313373,LC4+,551.7965705478177,0.03661390905732609,True
102.0,275.0,1.5,370.0,-105.0,75.41183447329006,1.2349368840295833,LC4+,369.36146396838075,0.3618096338362451,LC4+,554.0421959525712,0.03241234003224913,True
102.0,275.0,1.5,380.0,-95.0,75.70661196314005,1.255366394532576,LC4+,369.79578174633866,0.3602102155536018,LC4+,554.693672619508,0.03119979230836356,True
102.0,275.0,1.5,390.0,-85.0,76.0254552894669,1.2749767264039664,LC4+,369.25969912595735,0.3621849370256427,LC4+,553.8895486889361,0.032696864120169034,True
102.0,275.0,1.5,400.0,-75.0,76.36737972217057,1.293767879643755,LC4+,367.8483943011998,0.3674111612082669,LC4+,551.7725914517996,0.03665895853032297,True
102.0,275.0,1.5,410.0,-65.0,76.73140053115101,1.3117398542519416,LC4+,365.65704794334107,0.37560592043597185,LC4+,548.4855719150116,0.04287155266981557,True
102.0,275.0,1.5,420.0,-55.0,77.11653298630819,1.328892650228526,LC4+,362.7785970527921,0.38652060536747324,LC4+,544.1678955791882,0.051146171332266066,True
102.0,275.0,1.5,430.0,-45.0,77.52179235754207,1.3452262675735085,LC4+,359.30202926116283,0.39993642962252407,LC4+,538.9530438917444,0.0613169486336429,True
102.0,275.0,1.5,440.0,-35.0,77.9461939147526,1.3607407062868888,LC4+,355.3111669078999,0.4156605444668797,LC4+,532.9667503618498,0.07323768248516282,True
102.0,275.0,1.5,450.0,-25.0,78.38875292783973,1.375435966368667,LC4+,350.88387502357085,0.4335227002557773,LC4+,526.3258125353562,0.08677930357363106,True
102.0,275.0,1.5,460.0,-15.0,78.84848466670346,1.3893120478188432,LC4+,346.0916215157373,0.45337236942364934,LC4+,519.137432273606,0.10182769424828009,True
102.0,275.0,1.5,470.0,-5.0,79.3244044012437,1.4023689506374173,LC4+,340.9993187983112,0.47507626048222806,LC4+,511.49897819746684,0.11828180383808395,True
102.0,275.0,1.5,480.0,5.0,79.81552740136044,1.4146066748243895,LC4+,335.66538148500246,0.4985161644453766,LC4+,503.4980722275039,0.13605201598774697,True
102.0,275.0,1.5,490.0,15.0,80.32086893695363,1.4260252203797594,LC4+,330.1419426518335,0.5235870848753743,LC4+,495.2129139777503,0.15505873101221201,True
102.0,275.0,1.5,500.0,25.0,80.83944427792323,1.4366245873035275,LC4+,324.4751801037272,0.5501956107681412,LC4+,486.7127701555909,0.17523113235172505,True
102.0,275.0,1.5,510.0,35.0,81.3702686941692,1.4464047755956935,LC4+,318.70571304077623,0.5782584981011765,LC4+,478.05856956116435,0.19650611121785677,True
102.0,275.0,1.5,520.0,45.0,81.9123574555915,1.4553657852562574,LC4+,312.8690378690124,0.6077014313272793,LC4+,469.30355680351886,0.2188273276596464,True
102.0,275.0,1.5,530.0,55.0,82.46472583209008,1.463507616285219,LC4+,306.99597928554255,0.6384579406238755,LC4+,460.49396892831385,0.24214438971087704,True
102.0,275.0,1.5,540.0,65.0,83.02638909356492,1.4708302686825787,LC4+,301.1131390434545,0.6704684544748829,LC4+,451.6697085651818,0.2664121351353652,True
102.0,275.0,1.5,550.0,75.0,83.59636250991595,1.4773337424483364,LC4+,295.2433299610415,0.7036794703080091,LC4+,442.86499494156243,0.291590002672208,True
102.0,275.0,1.5,560.0,85.0,84.17366135104315,1.483018037582492,LC4+,289.4059868595366,0.7380428285477432,LC4+,434.1089802893049,0.3176414816823183,True
102.0,275.0,1.5,570.0,95.0,84.75730088684648,1.4878831540850455,LC4+,283.6175493148683,0.773515077663887,LC4+,425.42632397230267,0.34453363078030863,True
102.0,275.0,1.5,580.0,105.0,85.34629638722589,1.491929091955997,LC4+,277.8918135299742,0.810056919671529,LC4+,416.8377202949613,0.3722366574580711,True
102.0,275.0,1.5,590.0,115.0,85.93966312208134,1.4951558511953464,LC4+,272.2402524125617,0.8476327271315394,LC4+,408.3603786188428,0.4007235519141681,True
102.0,275.0,1.5,600.0,125.0,86.5364163613128,1.4975634318030937,LC4+,266.67230420603886,0.8862101240606051,LC4+,400.0084563090584,0.42996976933421593,True
