washer_OD_mm,shaft_ID_clearance_reference_mm,annular_contact_area_mm2,limit_case,limit_Fx_kN,limit_avg_face_pressure_MPa,MS_limit_vs_7075_yield,ultimate_case,ultimate_Fx_kN,ultimate_avg_face_pressure_MPa,MS_ultimate_vs_7075_UTS
50.0,38.0,829.3804605477054,LC5,8.87376,10.699263392508614,46.012582226192265,LC5,13.31064,16.048895088762922,34.641082880559274
60.0,38.0,1693.3184402848985,LC5,8.87376,5.240455539187893,94.98402204514252,LC5,13.31064,7.860683308781839,71.76721088114185
70.0,38.0,2714.336052701581,LC5,8.87376,3.269219369933188,152.85936001299282,LC5,13.31064,4.903829054899782,115.64354397273945
80.0,38.0,3892.4332977977538,LC5,8.87376,2.279746195013942,219.6385961297432,LC5,13.31064,3.4196192925209132,166.27008215535204
90.0,38.0,5227.610175573416,LC5,8.87376,1.6974792882345398,295.3217303953937,LC5,13.31064,2.5462189323518096,223.64682542897967
