level,ligament_mm,station_above_U_mm,governing_radial_case,radial_reaction_kN,journal_root_moment_kNm,journal_diameter_mm,head_root_to_root_width_mm,half_head_engagement_mm,contact_q_root_N_per_mm,contact_q_inner_N_per_mm,contact_p_root_MPa,contact_p_inner_MPa,contact_peak_projected_pressure_MPa,full_length_linear_contact_compressive,contact_proxy_allowable_MPa,contact_proxy_MS,lower_shearout_area_mm2,lower_shearout_tau_avg_MPa,lower_shearout_VM_proxy_MPa,lower_shearout_MS,zero_margin_required_lower_ligament_mm,side_ligament_from_74mm_envelope_mm,side_shearout_area_mm2,side_shearout_tau_avg_MPa,side_shearout_VM_proxy_MPa,side_shearout_MS,material_screen_allowable_MPa,material_screen_label,simple_screen_PASS,limitations
limit,5.0,521.780356685791,LC5,92.62296979566986,1.6209019714242228,36.0,85.0,42.5,3333.144933823415,1025.5830565610531,92.58735927287265,28.488418237807032,92.58735927287265,True,503.0,4.432707055804053,425.0,217.93639951922322,377.476916785924,0.3325318122306882,3.7522556340549107,19.0,1615.0,57.35168408400611,99.3360307331379,4.063620886476615,503.0,7075-T6 project yield screen,True,"Preliminary average/linear stress proxies only; no local Kt, true bearing allowable, fretting, fatigue, fit stress, partial-contact elasticity or 3D head redistribution."
ultimate,5.0,521.780356685791,LC5,138.9344546935048,2.4313529571363337,36.0,85.0,42.5,4999.7174007351205,1538.3745848415792,138.8810389093089,42.73262735671054,138.8810389093089,True,572.0,3.118632784519443,425.0,326.9045992788348,566.215375178886,0.010216297675220254,4.949435097717535,19.0,1615.0,86.02752612600915,149.00404609970684,2.8388219311658367,572.0,7075-T6 project UTS screen,True,"Preliminary average/linear stress proxies only; no local Kt, true bearing allowable, fretting, fatigue, fit stress, partial-contact elasticity or 3D head redistribution."
limit,10.0,526.780356685791,LC5,92.99101577714902,1.6273427761001078,36.0,85.0,42.5,3346.389495094637,1029.6583061829651,92.95526375262881,28.601619616193474,92.95526375262881,True,503.0,4.411205129153054,850.0,109.40119503194002,189.48842820407194,1.654515659701857,3.7671655706574945,19.0,1615.0,57.57957633260001,99.73075168635366,4.043579753433528,503.0,7075-T6 project yield screen,True,"Preliminary average/linear stress proxies only; no local Kt, true bearing allowable, fretting, fatigue, fit stress, partial-contact elasticity or 3D head redistribution."
ultimate,10.0,526.780356685791,LC5,139.48652366572352,2.441014164150162,36.0,85.0,42.5,5019.584242641954,1544.4874592744463,139.43289562894316,42.902429424290176,139.43289562894316,True,572.0,3.1023317877740864,850.0,164.10179254791004,284.23264230610795,1.0124359938362653,4.969102138218671,19.0,1615.0,86.36936449890003,149.5961275295305,2.823628388288904,572.0,7075-T6 project UTS screen,True,"Preliminary average/linear stress proxies only; no local Kt, true bearing allowable, fretting, fatigue, fit stress, partial-contact elasticity or 3D head redistribution."
limit,15.0,531.780356685791,LC5,93.35907514589884,1.6337838150532298,36.0,85.0,42.5,3359.634538122311,1033.7337040376342,93.32318161450864,28.714825112156504,93.32318161450864,True,503.0,4.389871962121363,1275.0,73.22280403599909,126.82561686300987,2.9660757222518637,3.7820760495927392,19.0,1615.0,57.8074768705256,100.12548699711306,4.02369591485236,503.0,7075-T6 project yield screen,True,"Preliminary average/linear stress proxies only; no local Kt, true bearing allowable, fretting, fatigue, fit stress, partial-contact elasticity or 3D head redistribution."
ultimate,15.0,531.780356685791,LC5,140.0386127188482,2.450675722579844,36.0,85.0,42.5,5039.451807183466,1550.6005560564504,139.98477242176295,43.072237668234735,139.98477242176295,True,572.0,3.086158730726865,1275.0,109.8342060539986,190.23842529451474,2.0067532314487297,4.988769894086925,19.0,1615.0,86.71121530578837,150.18823049566953,2.808554093168391,572.0,7075-T6 project UTS screen,True,"Preliminary average/linear stress proxies only; no local Kt, true bearing allowable, fretting, fatigue, fit stress, partial-contact elasticity or 3D head redistribution."
limit,20.0,536.780356685791,LC5,93.7271477442069,1.640225085523621,36.0,85.0,42.5,3372.8800572309756,1037.8092483787632,93.69111270086043,28.828034677187865,93.69111270086043,True,503.0,4.368705584765466,1700.0,55.1336163201217,95.49422467145942,4.267334246971825,3.7969870644715478,19.0,1615.0,58.03538560012811,100.52023649627307,4.003967534623234,503.0,7075-T6 project yield screen,True,"Preliminary average/linear stress proxies only; no local Kt, true bearing allowable, fretting, fatigue, fit stress, partial-contact elasticity or 3D head redistribution."
ultimate,20.0,536.780356685791,LC5,140.59072161631033,2.4603376282854312,36.0,85.0,42.5,5059.320085846461,1556.7138725681443,140.53666905129057,43.24205201578179,140.53666905129057,True,572.0,3.0701121199282273,1700.0,82.70042448018255,143.24133700718912,2.9932606882278123,5.008438356894724,19.0,1615.0,87.05307840019215,150.78035474440958,2.793597653816422,572.0,7075-T6 project UTS screen,True,"Preliminary average/linear stress proxies only; no local Kt, true bearing allowable, fretting, fatigue, fit stress, partial-contact elasticity or 3D head redistribution."
