thickness_mm,sigma_limit_simply_supported_MPa,MS_limit_to_yield,sigma_ultimate_simply_supported_MPa,MS_ultimate_to_tensile,sigma_limit_clamped_reference_MPa,status
3.0,1300.4035793931732,-0.613197004398648,1950.6053690897597,-0.7067577024731964,792.9290118251056,FAIL
3.5,955.3985481255966,-0.47351814487593746,1433.097822188395,-0.6008646505885172,582.5600903204858,FAIL
4.0,731.4770134086599,-0.3123502300420409,1097.21552011299,-0.47868035995234903,446.0225691516219,FAIL
4.5,577.9571463969659,-0.1296932598969579,866.9357195954489,-0.34020483056469186,352.41289414449136,FAIL
5.0,468.14528858154233,0.07445276555931124,702.2179328723136,-0.1854380624255454,285.454444257038,FAIL
5.5,386.89693271201844,0.30008784632676666,580.3453990680277,-0.014380055534909952,235.91276384879174,FAIL
6.0,325.1008948482933,0.547211982405408,487.65134227243993,0.17296919010721457,198.2322529562764,PASS_BOTH
6.5,277.00904649795405,0.815825173795236,415.51356974693107,0.3766096745008283,168.90795518167928,PASS_BOTH
7.0,238.84963703139914,1.1059274204962501,358.27445554709874,0.5965413976459311,145.64002258012144,PASS_BOTH
7.5,208.0645727029077,1.4175187225084502,312.0968590543616,0.8327643595425227,126.8686418920169,PASS_BOTH
8.0,182.86925335216498,1.7505990798318365,274.3038800282475,1.0852785601906039,111.50564228790547,PASS_BOTH
8.5,161.98798912856137,2.1051684924664094,242.98198369284205,1.354083999590174,98.77316410278132,PASS_BOTH
9.0,144.48928659924147,2.4812269604121684,216.73392989886221,1.6391806777412326,88.10322353612284,PASS_BOTH
9.5,129.68013534114746,2.8787744836691136,194.5202030117212,1.9405685946437812,79.07325325679723,PASS_BOTH
10.0,117.03632214538558,3.297811062237245,175.5544832180784,2.2582477502978184,71.3636110642595,PASS_BOTH
10.5,106.1553942361774,3.738336696116562,159.23309135426612,2.5922181447033443,64.72889892449841,PASS_BOTH
11.0,96.72423317800461,4.200351385307067,145.08634976700694,2.94247977786036,58.978190962197935,PASS_BOTH
11.5,88.49627383393995,4.683855129808756,132.74441075090994,3.3090326497688647,53.9611425816707,PASS_BOTH
12.0,81.27522371207333,5.188847929621632,121.91283556810998,3.6918767604288583,49.5580632390691,PASS_BOTH
12.5,74.90324617304677,5.715329784745696,112.35486925957017,4.091012109840341,45.67271108112608,PASS_BOTH
13.0,69.25226162448851,6.263300695180944,103.87839243673277,4.506438698003313,42.22698879541982,PASS_BOTH
13.5,64.21746071077398,6.832760660927379,96.32619106616097,4.938156524917774,39.15698823827682,PASS_BOTH
14.0,59.712409257849785,7.423709681985001,89.56861388677468,5.386165590583724,36.41000564503036,PASS_BOTH
14.5,55.665313743346296,8.036147758353808,83.49797061501944,5.850465895001164,33.94226447765018,PASS_BOTH
15.0,52.016143175726924,8.670074890033801,78.0242147635904,6.331057438170091,31.717160473004224,PASS_BOTH
15.5,48.71439007092012,9.325491077024981,73.07158510638018,6.827940220090508,29.703896384707388,PASS_BOTH
16.0,45.717313338041244,10.002396319327346,68.57597000706187,7.3411142407624155,27.87641057197637,PASS_BOTH
16.5,42.988548079113166,10.700790616940898,64.48282211866974,7.87057950018581,26.212529316532414,PASS_BOTH
17.0,40.49699728214034,11.420673969865637,60.74549592321051,8.416335998360696,24.69329102569533,PASS_BOTH
17.5,38.21594192502386,12.162046378101563,57.3239128875358,8.97838373528707,23.30240361281943,PASS_BOTH
18.0,36.12232164981037,12.924907841648674,54.183482474715554,9.55672271096493,22.02580588403071,PASS_BOTH
18.5,34.19614964072625,13.70925836050697,51.29422446108938,10.151352925394283,20.851310756540396,PASS_BOTH
19.0,32.420033835286866,14.515097934676454,48.6300507529303,10.762274378575125,19.768313314199307,PASS_BOTH
19.5,30.778782944217117,15.342426564157122,46.16817441632568,11.389487070507455,18.767550575742145,PASS_BOTH
20.0,29.259080536346396,16.19124424894898,43.8886208045196,12.032991001191274,17.840902766064875,PASS_BOTH
