thickness_mm,sigma_limit_MPa,MS_limit_yield,sigma_ultimate_MPa,MS_ultimate_tensile,status
3.0,1320.226804688801,-0.6190048571854552,1980.3402070332013,-0.7111607399735989,FAIL
3.5,969.9625503836088,-0.48142327783575833,1454.9438255754133,-0.606857673852954,FAIL
4.0,742.6275776374505,-0.32267530166303127,1113.9413664561757,-0.4865079821752868,FAIL
4.5,586.7674687505781,-0.14276092866727386,880.1512031258673,-0.3501116649405973,FAIL
5.0,475.2816496879683,0.058319841151513785,712.9224745319525,-0.19766872214888564,FAIL
5.5,392.7947518082383,0.28056700779333155,589.1921277123574,-0.02917915380015157,FAIL
6.0,330.05670117220023,0.5239805712581795,495.0850517583003,0.1553570401056048,PASS_BOTH
6.5,281.23174537749605,0.788560531546058,421.8476180662441,0.35593985956838337,PASS_BOTH
7.0,242.4906375959022,1.0743068886569667,363.7359563938533,0.5725693045881841,PASS_BOTH
7.5,211.23628875020813,1.381219642590906,316.8544331253122,0.8052453751650075,PASS_BOTH
8.0,185.65689440936262,1.709298793347875,278.48534161404393,1.0539680712988528,PASS_BOTH
8.5,164.4573182311309,2.0585443409278747,246.68597734669635,1.3187373929897208,PASS_BOTH
9.0,146.69186718764453,2.4289562853309046,220.0378007814668,1.5995533402376108,PASS_BOTH
9.5,131.6569666725674,2.8205346265569644,197.4854500088511,1.896415913042523,PASS_BOTH
10.0,118.82041242199207,3.233279364606055,178.23061863298813,2.2093251114044574,PASS_BOTH
10.5,107.77361670928987,3.667190499478175,161.6604250639348,2.5382809353234146,PASS_BOTH
11.0,98.19868795205957,4.122268031173326,147.29803192808936,2.8832833847993937,PASS_BOTH
11.5,89.84530239848172,4.598511959691508,134.7679535977226,3.2443324598323953,PASS_BOTH
12.0,82.51417529305006,5.095922285032718,123.77126293957508,3.621428160422419,PASS_BOTH
12.5,76.04506395007493,5.614499007196961,114.0675959251124,4.014570486569465,PASS_BOTH
13.0,70.30793634437401,6.154242126184232,105.46190451656102,4.4237594382735335,PASS_BOTH
13.5,65.1963854167309,6.715151641994535,97.79457812509636,4.848995015534624,PASS_BOTH
14.0,60.62265939897555,7.297227554627867,90.93398909846333,5.2902772183527365,PASS_BOTH
14.5,56.51387035528755,7.900469864084231,84.77080553293133,5.747606046727872,PASS_BOTH
15.0,52.80907218755203,8.524878570363624,79.21360828132805,6.22098150066003,PASS_BOTH
15.5,49.456987480537805,9.170453673466048,74.18548122080671,6.71040358014921,PASS_BOTH
16.0,46.414223602340655,9.8371951733915,69.62133540351098,7.215872285195411,PASS_BOTH
16.5,43.64386131202647,10.525103070139984,65.46579196803971,7.737387615798637,PASS_BOTH
17.0,41.114329557782725,11.234177363711499,61.67149433667409,8.274949571958883,PASS_BOTH
17.5,38.798502015344354,11.964418054106043,58.19775302301653,8.828558153676152,PASS_BOTH
18.0,36.67296679691113,12.715825141323618,55.0094501953667,9.398213360950443,PASS_BOTH
18.5,34.71743240963976,13.488398625364221,52.07614861445964,9.983915193781757,PASS_BOTH
19.0,32.91424166814185,14.282138506227858,49.371362502212776,10.585663652170092,PASS_BOTH
19.5,31.24797170861067,15.097044783914523,46.87195756291601,11.203458736115449,PASS_BOTH
20.0,29.70510310549802,15.93311745842422,44.55765465824703,11.83730044561783,PASS_BOTH
