span_mm,head_od_mm,bearing_width_mm,shaft_diameter_mm,lower_ligament_mm,Kt_bending,z_trunnion_above_U_mm,head_to_bearing_edge_clearance_mm,actual_root_lever_mm,packaging_pass,strength_pass,PASS,limit_governing_case,limit_governing_side,limit_Rgov_kN,limit_root_moment_kNm,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_side,ultimate_Rgov_kN,ultimate_root_moment_kNm,ultimate_vm_MPa,MS_ultimate,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,ultimate_tau_transverse_MPa,MS_ultimate_transverse_shear
150.0,106.0,25.0,38.0,10.0,3.0,527.780357,9.5,22.0,True,True,True,LC5,LEFT,75.55594143982903,1.6622307116762383,933.5065066212568,0.6250556254724411,LC5,LEFT,113.33391215974352,2.4933460675143575,1400.2597599318854,0.3297532738429729,119.29885490499318,2.467635966241663,133.24212254970155,7.06821582138997
150.0,106.0,25.0,38.0,15.0,3.0,532.780357,9.5,22.0,True,True,True,LC5,LEFT,75.85043002389294,1.6687094605256445,937.1144666309397,0.6187990411180309,LC5,LEFT,113.7756450358394,2.503064190788467,1405.6716999464095,0.3246336253842115,119.76383687983096,2.4541729020846637,133.76145012685288,7.036891049039767
150.0,106.0,25.0,38.0,20.0,3.0,537.780357,9.5,22.0,True,True,True,LC5,LEFT,76.14492871212511,1.6751884316667525,940.7225504329763,0.612590236411136,LC5,LEFT,114.21739306818768,2.5127826475001287,1411.0838256494646,0.3195530741364687,120.22883480861861,2.440813517476965,134.28079552260058,7.005807509906711
150.0,106.0,25.0,38.0,25.0,3.0,542.780357,9.5,22.0,True,True,True,LC5,LEFT,76.43943738774036,1.6816676225302876,944.3307565965598,0.6064286685603506,LC5,LEFT,114.65915608161055,2.5225014337954317,1416.49613489484,0.31451117594347267,120.69384850695847,2.427556624612475,134.8001585309952,6.974962440299339
150.0,106.0,25.0,38.0,30.0,3.0,547.780357,9.5,22.0,True,True,True,LC5,LEFT,76.7339559357425,1.6881470305863349,947.939083712802,0.6003138029274535,LC5,LEFT,115.10093390361376,2.532220545879503,1421.9086255692034,0.30950749332055283,121.15887779327765,2.414401053679558,135.31953894924217,6.944353118394242
