station_label,extra_above_E2_boundary_mm,station_above_U_mm,level,case,Mx_external_kNm,brace_effective_arm_mm,brace_force_abs_kN
E2_BOUNDARY,0.0,498.780356685791,limit,LC0,0.894331914893617,150.0,5.962212765957447
E2_BOUNDARY,0.0,498.780356685791,limit,LC0,0.894331914893617,200.0,4.4716595744680845
E2_BOUNDARY,0.0,498.780356685791,limit,LC0,0.894331914893617,250.0,3.577327659574468
E2_BOUNDARY,0.0,498.780356685791,limit,LC0,0.894331914893617,300.0,2.9811063829787234
E2_BOUNDARY,0.0,498.780356685791,limit,LC1,3.0023999999999997,150.0,20.016
E2_BOUNDARY,0.0,498.780356685791,limit,LC1,3.0023999999999997,200.0,15.011999999999999
E2_BOUNDARY,0.0,498.780356685791,limit,LC1,3.0023999999999997,250.0,12.009599999999999
E2_BOUNDARY,0.0,498.780356685791,limit,LC1,3.0023999999999997,300.0,10.008
E2_BOUNDARY,0.0,498.780356685791,limit,LC2A,3.0023999999999997,150.0,20.016
E2_BOUNDARY,0.0,498.780356685791,limit,LC2A,3.0023999999999997,200.0,15.011999999999999
E2_BOUNDARY,0.0,498.780356685791,limit,LC2A,3.0023999999999997,250.0,12.009599999999999
E2_BOUNDARY,0.0,498.780356685791,limit,LC2A,3.0023999999999997,300.0,10.008
E2_BOUNDARY,0.0,498.780356685791,limit,LC2B,3.0023999999999997,150.0,20.016
E2_BOUNDARY,0.0,498.780356685791,limit,LC2B,3.0023999999999997,200.0,15.011999999999999
E2_BOUNDARY,0.0,498.780356685791,limit,LC2B,3.0023999999999997,250.0,12.009599999999999
E2_BOUNDARY,0.0,498.780356685791,limit,LC2B,3.0023999999999997,300.0,10.008
E2_BOUNDARY,0.0,498.780356685791,limit,LC3,3.0023999999999997,150.0,20.016
E2_BOUNDARY,0.0,498.780356685791,limit,LC3,3.0023999999999997,200.0,15.011999999999999
E2_BOUNDARY,0.0,498.780356685791,limit,LC3,3.0023999999999997,250.0,12.009599999999999
E2_BOUNDARY,0.0,498.780356685791,limit,LC3,3.0023999999999997,300.0,10.008
E2_BOUNDARY,0.0,498.780356685791,limit,LC4+,10.911892174759497,150.0,72.74594783172999
