state,design_class,compression_mm,phase1_equivalent_swept_volume_cm3,piston_internal_reservoir_capacity_cm3,conservative_reservoir_remaining_cm3,conservative_reservoir_capacity_status,gas_only_lower_bound_closure_above_U_mm,gas_plus_equiv_transfer_upper_bound_closure_above_U_mm,closure_bound_width_mm
FULL_EXTENSION,PHYSICAL_DESIGN,0.0,0.0,824.6680715673208,824.6680715673208,PASS_CAPACITY,222.45117187499997,222.45117187499997,0.0
LC0_STATIC_EQUILIBRIUM,PHYSICAL_DESIGN,55.368378326996535,146.2876529889423,824.6680715673208,678.3804185783785,PASS_CAPACITY,232.3461066736722,277.8195502019965,45.4734435283243
PHASE2D_NOMINAL_REFERENCE,PACKAGING_REFERENCE_ONLY,206.33800000000008,545.1613837083418,824.6680715673208,279.5066878589791,PASS_CAPACITY,259.326029296875,428.789171875,169.46314257812506
FULL_PHYSICAL_STROKE,PHYSICAL_DESIGN,230.0,607.6782669838738,824.6680715673208,216.98980458344707,PASS_CAPACITY,263.55468749999994,452.45117187499994,188.896484375
VIRTUAL_DIAGNOSTIC,DIAGNOSTIC_ONLY,240.779,636.157241070044,824.6680715673208,188.51083049727677,PASS_CAPACITY,265.4810126953124,463.23017187499994,197.7491591796875
