state,design_class,compression_mm,piston_top_intrusion_above_U_mm,axle_A_above_U_mm,piston_bore_blind_end_above_U_mm,gas_model_length_mm,gas_volume_cm3,gas_equivalent_height_in_64mm_barrel_mm,gas_pressure_abs_MPa,gas_pressure_gauge_MPa,gas_force_kN,gas_only_min_closure_above_U_mm
FULL_EXTENSION,PHYSICAL_DESIGN,0.0,-65.00000000000006,-525.0000000000001,-485.00000000000017,350.0,924.7277975841557,287.451171875,2.336,2.234675,5.904188831618209,222.45117187499997
LC0_STATIC_EQUILIBRIUM,PHYSICAL_DESIGN,55.368378326996535,-9.631621673003522,-469.63162167300356,-429.63162167300356,294.63162167300345,778.4401445952134,241.97772834667572,2.9221205810574595,2.8207955810574594,7.45276595744681,232.3461066736722
PHASE2D_NOMINAL_REFERENCE,PACKAGING_REFERENCE_ONLY,206.33800000000008,141.33800000000002,-318.662,-278.66200000000003,143.6619999999999,379.56641387581396,117.98802929687494,7.43390172404028,7.33257672404028,19.373250070396036,259.326029296875
FULL_PHYSICAL_STROKE,PHYSICAL_DESIGN,230.0,164.99999999999994,-295.00000000000006,-255.00000000000006,119.99999999999997,317.0495306002819,98.5546875,9.393461857325455,9.292136857325454,24.55056357407179,263.55468749999994
VIRTUAL_DIAGNOSTIC,DIAGNOSTIC_ONLY,240.779,175.77899999999994,-284.22100000000006,-244.22100000000006,109.22099999999999,288.57055651411156,89.7020126953125,10.616058499585716,10.514733499585716,27.780761003589262,265.4810126953124
