fixed_orifice_bore_mm,compression_mm,pin_profile_station_from_full_extension_intercept_mm,schedule_region,phase1_equivalent_diameter_mm,phase1_equivalent_area_mm2,required_pin_diameter_mm,area_error_pct,area_map_status
16.0,30.75,30.75,LINEAR,10.21715,81.98783532458808,12.312995000303541,0.0,PASS_AREA_MAP
16.0,41.0,41.0,LINEAR,10.1892,81.53987760535257,12.336134052449333,0.0,PASS_AREA_MAP
16.0,51.25,51.25,LINEAR,10.16125,81.09314699613458,12.359166575360168,-1.7524113000423308e-14,PASS_AREA_MAP
16.0,61.5,61.5,LINEAR,10.1333,80.64764349693404,12.382093163516418,-1.762091748625272e-14,PASS_AREA_MAP
16.0,71.75,71.75,LINEAR,10.10535,80.20336710775098,12.40491440427946,0.0,PASS_AREA_MAP
16.0,82.0,82.0,LINEAR,10.0774,79.76031782858544,12.427630878007278,5.3450845365521914e-14,PASS_AREA_MAP
16.0,92.25,92.25,LINEAR,10.04945,79.31849565943736,12.450243158167634,0.0,PASS_AREA_MAP
16.0,102.5,102.5,LINEAR,10.0215,78.87790060030676,12.472751811448827,0.0,PASS_AREA_MAP
16.0,112.75,112.75,LINEAR,9.99355,78.43853265119365,12.495157397868184,0.0,PASS_AREA_MAP
16.0,123.0,123.0,LINEAR,9.9656,78.00039181209803,12.517460470878268,0.0,PASS_AREA_MAP
16.0,133.25,133.25,LINEAR,9.937650000000001,77.56347808301989,12.5396615774709,0.0,PASS_AREA_MAP
16.0,143.5,143.5,LINEAR,9.9097,77.12779146395923,12.56176125827903,0.0,PASS_AREA_MAP
16.0,153.75,153.75,LINEAR,9.88175,76.69333195491605,12.58376004767653,0.0,PASS_AREA_MAP
16.0,164.0,164.0,LINEAR,9.853800000000001,76.26009955589036,12.605658473875929,-5.5904154851464595e-14,PASS_AREA_MAP
16.0,174.25,174.25,LINEAR,9.82585,75.82809426688213,12.627457059024195,1.874088337916806e-14,PASS_AREA_MAP
16.0,184.5,184.5,LINEAR,9.7979,75.3973160878914,12.649156319296557,-3.76959166520895e-14,PASS_AREA_MAP
16.0,194.75,194.75,LINEAR,9.769950000000001,74.96776501891817,12.670756764988427,-3.7911907101981455e-14,PASS_AREA_MAP
16.0,205.0,205.0,LINEAR,9.742,74.5394410599624,12.692258900605518,-1.906487963032919e-14,PASS_AREA_MAP
16.0,230.0,230.0,CLAMPED_END,9.742,74.5394410599624,12.692258900605518,-1.906487963032919e-14,PASS_AREA_MAP
