metering_law,peak_oleo_stroke_mm,peak_tire_deflection_mm,peak_ground_reaction_kN,peak_internal_strut_force_kN,peak_gas_force_kN,peak_hydraulic_force_kN,gas_work_kJ,hydraulic_energy_kJ,energy_residual_J,time_to_peak_s,bottoming_status
CURRENT_SMOOTH_LINEAR,206.338,44.961,,23.038,19.373,15.542,2.15,2.063,,,NOT_PRINTED
HISTORICAL_TWO_STAGE,206.268,44.898,,24.654,19.361,17.38,2.148,2.065,,,NOT_PRINTED
