law,diameter_start_mm,diameter_end_mm,design_stroke_mm,internal_diameter_jump_mm,hydraulic_coefficient_jump_pct,overall_C_h_end_vs_start_pct,classification
CURRENT_SMOOTH_LINEAR,10.301,9.742,205.0,0.0,0.0,25.004327419230933,CONTINUOUS_METERING_LAW
HISTORICAL_TWO_STAGE,10.3,9.969999999999999,50.0,-0.3300000000000004,13.911682249386015,13.911682249386015,DISCRETE_METERING_STEP
