quantity,value_mm,governing_state,classification
gas_only_minimum_internal_envelope_above_U,263.55468749999994,FULL_PHYSICAL_STROKE,LOWER_BOUND_NOT_FINAL_CLOSURE
conservative_volume_internal_envelope_above_U,452.45117187499994,FULL_PHYSICAL_STROKE,PHASE2E2_WORKING_ENVELOPE
