keeper_pin_diameter_mm,limit_case,limit_retention_load_kN,limit_double_shear_MPa,MS_limit_pin_shear,ultimate_case,ultimate_retention_load_kN,ultimate_double_shear_MPa,MS_ultimate_pin_shear,nominal_cross_hole_bearing_MPa,pin_to_main_shaft_diameter_ratio,STATIC_PIN_PASS
5.0,LC5,8.87376,225.96844284978195,2.875941026610068,LC5,13.31064,338.9526642746729,2.1716115981313764,70.056,0.13157894736842105,True
6.0,LC5,8.87376,156.92252975679304,4.581355078318497,LC5,13.31064,235.38379463518953,3.5671207013091815,58.379999999999995,0.15789473684210525,True
8.0,LC5,8.87376,88.26892298819608,8.922409028121773,LC5,13.31064,132.40338448229411,7.119325691216323,43.785,0.21052631578947367,True
10.0,LC5,8.87376,56.49211071244549,14.503764106440272,LC5,13.31064,84.73816606866822,11.686446392525506,35.028,0.2631578947368421,True
12.0,LC5,8.87376,39.23063243919826,21.325420313273987,LC5,13.31064,58.84594865879738,17.268482805236726,29.189999999999998,0.3157894736842105,True
