level,ligament_mm,case,station_above_U_mm,support_span_mm,journal_diameter_mm,bearing_width_mm,root_clearance_mm,root_lever_mm,head_width_mm,half_head_engagement_mm,neck_OD_Kt3_mm,side_ligament_mm,radial_reaction_kN,axial_thrust_kN,journal_root_moment_kNm,contact_regime,resultant_offset_e_mm,e_over_L,contact_length_mm,separation_length_mm,contact_fraction,contact_peak_projected_pressure_MPa,contact_proxy_MS,lower_shearout_VM_proxy_MPa,lower_shearout_MS,zero_margin_required_lower_ligament_mm,side_shearout_VM_proxy_MPa,side_shearout_MS,minimum_annular_thrust_area_mm2,equivalent_minimum_shoulder_OD_mm,simple_screen_PASS
limit,5.0,LC5,520.780356685791,150.0,34.0,25.0,5.0,17.5,115.0,57.5,96.0,31.0,75.14367460482197,8.87376,1.3150143055843844,PARTIAL_ROOT_TRIANGULAR,17.5,0.30434782608695654,52.5,5.0,0.9130434782608695,84.1945933947585,4.97425534964712,226.352456144304,1.2221981089497342,2.2500244149533204,36.50846066843613,12.777628275488352,17.641669980119286,34.32873536636407,True
ultimate,5.0,LC5,520.780356685791,150.0,34.0,25.0,5.0,17.5,115.0,57.5,96.0,31.0,112.71551190723294,13.31064,1.9725214583765764,PARTIAL_ROOT_TRIANGULAR,17.5,0.30434782608695654,52.5,5.0,0.9130434782608695,126.29189009213775,3.5291902717006662,339.528684216456,0.6846882946577177,2.967908078815175,54.76269100265419,9.44506742687785,23.27034965034965,34.43295992787491,True
limit,10.0,LC5,525.780356685791,150.0,34.0,25.0,5.0,17.5,115.0,57.5,96.0,31.0,75.43814884337127,8.87376,1.3201676047589972,PARTIAL_ROOT_TRIANGULAR,17.5,0.30434782608695654,52.5,5.0,0.9130434782608695,84.52453651918348,4.95093473107469,113.61974489188032,3.42704743333697,2.258841846757064,36.65153061028397,12.723847043344607,17.641669980119286,34.32873536636407,True
ultimate,10.0,LC5,525.780356685791,150.0,34.0,25.0,5.0,17.5,115.0,57.5,96.0,31.0,113.15722326505688,13.31064,1.9802514071384956,PARTIAL_ROOT_TRIANGULAR,17.5,0.30434782608695654,52.5,5.0,0.9130434782608695,126.78680477877523,3.5115104919479423,170.42961733782045,2.3562241641732897,2.979538764647211,54.977295915425955,9.404294908937196,23.27034965034965,34.43295992787491,True
limit,15.0,LC5,530.780356685791,150.0,34.0,25.0,5.0,17.5,115.0,57.5,96.0,31.0,75.73263335266006,8.87376,1.3253210836715512,PARTIAL_ROOT_TRIANGULAR,17.5,0.30434782608695654,52.5,5.0,0.9130434782608695,84.85449115143986,4.927794665603446,76.04218478712612,5.6147494500336546,2.2676595860972,36.7946055421578,12.67048219673622,17.641669980119286,34.32873536636407,True
ultimate,15.0,LC5,530.780356685791,150.0,34.0,25.0,5.0,17.5,115.0,57.5,96.0,31.0,113.59895002899007,13.31064,1.9879816255073264,PARTIAL_ROOT_TRIANGULAR,17.5,0.30434782608695654,52.5,5.0,0.9130434782608695,127.28173672715975,3.4939675927437666,114.06327718068914,4.0147603517816455,2.991169856136953,55.19190831323669,9.363838060348732,23.27034965034965,34.43295992787491,True
limit,20.0,LC5,535.780356685791,150.0,34.0,25.0,5.0,17.5,115.0,57.5,96.0,31.0,76.02712801333988,8.87376,1.3304747402334478,PARTIAL_ROOT_TRIANGULAR,17.5,0.30434782608695654,52.5,5.0,0.9130434782608695,85.18445715780379,4.904833073810577,57.25341237941207,7.785502542043684,2.276477629400082,36.937685406072305,12.617528940167707,17.641669980119286,34.32873536636407,True
ultimate,20.0,LC5,535.780356685791,150.0,34.0,25.0,5.0,17.5,115.0,57.5,96.0,31.0,114.04069202000984,13.31064,1.9957121103501723,PARTIAL_ROOT_TRIANGULAR,17.5,0.30434782608695654,52.5,5.0,0.9130434782608695,127.77668573670569,3.476559997640358,85.88011856911811,5.660447255200777,3.0028013485705634,55.40652810910846,9.323693245561204,23.27034965034965,34.43295992787491,True
