A_mm,OD_mm,ID_mm,region
815.3787142857143,101.81251648213528,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
817.3342857142857,101.9062953117696,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
819.2898571428572,101.99924373801475,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
821.2454285714285,102.09135334438339,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
823.201,102.18261571438813,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
825.1565714285714,102.27302243154162,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
827.1121428571429,102.36256507935653,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
829.0677142857143,102.45123524134544,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
831.0232857142857,102.53902450102103,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
832.9788571428571,102.62592444189593,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
834.9344285714286,102.71192664748277,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
836.89,102.7970227012942,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
838.8455714285715,102.88120418684287,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
840.8011428571428,102.9644626876414,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
842.7567142857142,103.04678978720241,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
844.7122857142857,103.1281770690386,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
846.6678571428571,103.20861611666255,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
848.6234285714286,103.28809851358696,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
850.579,103.3666158433244,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
852.5345714285714,103.44415968938755,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
854.4901428571428,103.52072163528905,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
856.4457142857143,103.59629326454152,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
858.4012857142857,103.6708661606576,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
860.3568571428572,103.74443190714993,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
862.3124285714285,103.81698208753119,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
864.268,103.88850828531397,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
866.2235714285714,103.9590020840109,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
868.1791428571428,104.0284550671347,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
870.1347142857143,104.09685881819792,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
872.0902857142858,104.16420492071325,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
874.0458571428571,104.2304849581933,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
876.0014285714285,104.29569051415073,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
877.957,104.35981317209817,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
879.9125714285715,104.42284451554826,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
881.8681428571429,104.48477612801364,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
883.8237142857142,104.54559959300695,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
885.7792857142857,104.60530649404083,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
887.7348571428571,104.66388841462793,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
889.6904285714286,104.72133693828087,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
891.646,104.7776436485123,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
893.6015714285714,104.83280012883485,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
895.5571428571428,104.88679796276116,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
897.5127142857143,104.93962873380389,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
899.4682857142857,104.99128402547565,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
901.4238571428571,105.04175542128908,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
903.3794285714285,105.09103450475686,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
905.335,105.13911285939159,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
907.2905714285714,105.18598206870591,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
909.2461428571428,105.2316337162125,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
911.2017142857143,105.27605938542393,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
913.1572857142856,105.31925065985291,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
915.1128571428571,105.36119912301204,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
917.0684285714285,105.40189635841398,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
919.024,105.44133394957132,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
920.9795714285714,105.47950347999677,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
922.9351428571429,105.51639653320291,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
924.8907142857142,105.55200469270241,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
926.8462857142857,105.58631954200791,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
928.8018571428571,105.61933266463205,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
930.7574285714286,105.65103564408744,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
932.713,105.68142006388678,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
934.6685714285715,105.71047750754263,64.0,PRIMARY_106_SMOOTHSTEP_TRANSITION
