level,case,reference_station_A_mm,local_OD_mm,local_ID_mm,local_wall_mm,pressure_MPa,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,Mb_kNm,nominal_surface,nominal_sigma_z_MPa,nominal_sigma_theta_MPa,nominal_sigma_r_MPa,nominal_tau_torsion_MPa,nominal_VM_MPa,material_screen_MPa,nominal_MS
limit,LC4+,315.278277,74.3067000078869,64.0,5.153350003943451,9.292,0.0,8.34,11.0922,5.419984830180001,-0.0,-0.0,5.419984830180001,OUTER,-282.4354939077356,53.39938928343032,0.0,0.0,312.5750883889933,503.0,0.6092133336423367
ultimate,LC4+,315.278277,74.3067000078869,64.0,5.153350003943451,13.938,0.0,12.51,16.638300000000005,8.12997724527,-0.0,-0.0,8.12997724527,OUTER,-423.65324086160325,80.09908392514548,0.0,0.0,468.8626325834898,572.0,0.21997352795681513
