station_label,extra_above_E2_boundary_mm,station_above_U_mm,level,case,support_span_mm,Fx_thrust_requirement_kN,Fy_external_kN,Fz_external_kN,My_external_kNm,Mz_external_kNm,RLy_kN,RRy_kN,RLz_kN,RRz_kN,RL_kN,RR_kN,Rmax_kN,force_y_residual_kN,force_z_residual_kN,moment_y_residual_kNm,moment_z_residual_kNm
E2_BOUNDARY,0.0,498.780356685791,limit,LC5,120.0,8.87376,0.0,11.0922,10.194001177944106,1.0648512,8.87376,-8.87376,-90.49610981620089,79.4039098162009,90.93013531499604,79.89821343833017,90.93013531499604,0.0,8.881784197001252e-15,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,limit,LC5,150.0,8.87376,0.0,11.0922,10.194001177944106,1.0648512,7.099008000000001,-7.099008000000001,-73.50610785296071,62.41390785296071,73.84811308540765,62.81633392726716,73.84811308540765,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,0.0
E2_BOUNDARY,0.0,498.780356685791,limit,LC5,180.0,8.87376,0.0,11.0922,10.194001177944106,1.0648512,5.915840000000001,-5.915840000000001,-62.17943987746726,51.087239877467255,62.46022659565978,51.42862278151613,62.46022659565978,0.0,-5.329070518200751e-15,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC0,120.0,0.0,0.0,11.179148936170211,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC0,150.0,0.0,0.0,11.179148936170211,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC0,180.0,0.0,0.0,11.179148936170211,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC1,120.0,0.0,0.0,37.53,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC1,150.0,0.0,0.0,37.53,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC1,180.0,0.0,0.0,37.53,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC2A,120.0,9.3825,0.0,37.53,10.778431696604434,1.1259,9.3825,-9.3825,-108.58526413837029,71.05526413837029,108.98986601629366,71.67204383874909,108.98986601629366,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC2A,150.0,9.3825,0.0,37.53,10.778431696604434,1.1259,7.505999999999999,-7.505999999999999,-90.62121131069622,53.091211310696224,90.93153454890034,53.61918270952103,90.93153454890034,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC2A,180.0,9.3825,0.0,37.53,10.778431696604434,1.1259,6.255,-6.255,-78.64517609224686,41.115176092246855,78.89352791947205,41.588252308752615,78.89352791947205,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC2B,120.0,9.3825,0.0,37.53,-10.778431696604434,-1.1259,-9.3825,9.3825,71.05526413837029,-108.58526413837029,71.67204383874909,108.98986601629366,108.98986601629366,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC2B,150.0,9.3825,0.0,37.53,-10.778431696604434,-1.1259,-7.505999999999999,7.505999999999999,53.091211310696224,-90.62121131069622,53.61918270952103,90.93153454890034,90.93153454890034,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC2B,180.0,9.3825,0.0,37.53,-10.778431696604434,-1.1259,-6.255,6.255,41.115176092246855,-78.64517609224686,41.588252308752615,78.89352791947205,78.89352791947205,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC3,120.0,0.0,0.0,37.53,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC3,150.0,0.0,0.0,37.53,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC3,180.0,0.0,0.0,37.53,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC4+,120.0,0.0,12.51,16.638300000000005,-0.0,-0.0,-6.255,-6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC4+,150.0,0.0,12.51,16.638300000000005,-0.0,-0.0,-6.255,-6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC4+,180.0,0.0,12.51,16.638300000000005,-0.0,-0.0,-6.255,-6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC4-,120.0,0.0,-12.51,16.638300000000005,-0.0,-0.0,6.255,6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC4-,150.0,0.0,-12.51,16.638300000000005,-0.0,-0.0,6.255,6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC4-,180.0,0.0,-12.51,16.638300000000005,-0.0,-0.0,6.255,6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132,0.0,0.0,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC5,120.0,13.31064,0.0,16.638300000000005,15.291001766916157,1.5972768,13.31064,-13.31064,-135.7441647243013,119.1058647243013,136.39520297249405,119.84732015749522,136.39520297249405,0.0,3.552713678800501e-15,1.7763568394002505e-15,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC5,150.0,13.31064,0.0,16.638300000000005,15.291001766916157,1.5972768,10.648512,-10.648512,-110.25916177944106,93.62086177944104,110.77216962811147,94.22450089090071,110.77216962811147,0.0,-1.0658141036401503e-14,0.0,0.0
E2_BOUNDARY,0.0,498.780356685791,ultimate,LC5,180.0,13.31064,0.0,16.638300000000005,15.291001766916157,1.5972768,8.87376,-8.87376,-93.26915981620088,76.63085981620087,93.69033989348966,77.1429341722742,93.69033989348966,0.0,-1.0658141036401503e-14,0.0,-2.220446049250313e-16
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC0,120.0,0.0,0.0,7.452765957446808,-0.0,-0.0,-0.0,0.0,-3.726382978723404,-3.726382978723404,3.726382978723404,3.726382978723404,3.726382978723404,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC0,150.0,0.0,0.0,7.452765957446808,-0.0,-0.0,-0.0,0.0,-3.726382978723404,-3.726382978723404,3.726382978723404,3.726382978723404,3.726382978723404,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC0,180.0,0.0,0.0,7.452765957446808,-0.0,-0.0,-0.0,0.0,-3.726382978723404,-3.726382978723404,3.726382978723404,3.726382978723404,3.726382978723404,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC1,120.0,0.0,0.0,25.02,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC1,150.0,0.0,0.0,25.02,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC1,180.0,0.0,0.0,25.02,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC2A,120.0,6.255,0.0,25.02,7.341996131069623,0.7505999999999999,6.255,-6.255,-73.69330109224686,48.67330109224686,73.95828317959085,49.07356991514393,73.95828317959085,0.0,3.552713678800501e-15,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC2A,150.0,6.255,0.0,25.02,7.341996131069623,0.7505999999999999,5.004,-5.004,-61.45664087379748,36.43664087379749,61.66002532833502,36.77864617092491,61.66002532833502,0.0,3.552713678800501e-15,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC2A,180.0,6.255,0.0,25.02,7.341996131069623,0.7505999999999999,4.17,-4.17,-53.298867394831234,28.278867394831238,53.46174487960344,28.584667938152602,53.46174487960344,0.0,3.552713678800501e-15,8.881784197001252e-16,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC2B,120.0,6.255,0.0,25.02,-7.341996131069623,-0.7505999999999999,-6.255,6.255,48.67330109224686,-73.69330109224686,49.07356991514393,73.95828317959085,73.95828317959085,0.0,3.552713678800501e-15,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC2B,150.0,6.255,0.0,25.02,-7.341996131069623,-0.7505999999999999,-5.004,5.004,36.43664087379749,-61.45664087379748,36.77864617092491,61.66002532833502,61.66002532833502,0.0,3.552713678800501e-15,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC2B,180.0,6.255,0.0,25.02,-7.341996131069623,-0.7505999999999999,-4.17,4.17,28.278867394831238,-53.298867394831234,28.584667938152602,53.46174487960344,53.46174487960344,0.0,3.552713678800501e-15,-8.881784197001252e-16,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC3,120.0,0.0,0.0,25.02,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC3,150.0,0.0,0.0,25.02,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC3,180.0,0.0,0.0,25.02,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC4+,120.0,0.0,8.34,11.0922,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC4+,150.0,0.0,8.34,11.0922,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC4+,180.0,0.0,8.34,11.0922,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421,0.0,0.0,0.0,0.0
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,limit,LC4-,120.0,0.0,-8.34,11.0922,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421,0.0,0.0,0.0,0.0
