case,fx_limit_kN,fy_limit_kN,fz_limit_kN,fx_ultimate_kN,fy_ultimate_kN,fz_ultimate_kN,VM_limit_Kt1p0_MPa,VM_limit_Kt1p2_MPa,VM_ultimate_Kt1p0_MPa
LC0,0.0,0.0,7.452765957446808,0.0,0.0,11.179148936170211,92.69650999020487,111.23581198824584,139.0447649853073
LC1,0.0,0.0,25.02,0.0,0.0,37.53,311.19542639568783,373.4345116748254,466.7931395935317
LC2A,-6.255,0.0,25.02,-9.3825,0.0,37.53,320.77290330963683,384.9274839715641,481.1593549644551
LC2B,6.255,0.0,25.02,9.3825,0.0,37.53,320.77290330963683,384.9274839715641,481.1593549644551
LC3,0.0,0.0,25.02,0.0,0.0,37.53,311.19542639568783,373.4345116748254,466.7931395935317
LC4+,0.0,8.34,11.0922,0.0,12.51,16.638300000000005,297.13976630348265,354.98753834348105,445.70964945522394
LC4-,0.0,-8.34,11.0922,0.0,-12.51,16.638300000000005,21.213154899306044,23.875604658469147,31.81973234895905
LC5,-8.87376,0.0,11.0922,-13.31064,0.0,16.638300000000005,225.04658552684788,253.7337362942179,337.56987829027184
