OD_mm,ID_mm,wall_mm,A_m2,I_m4,J_m4,c_m,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_governing_case,limit_tau_screen_MPa,MS_limit_shear,ultimate_shear_governing_case,ultimate_tau_screen_MPa,MS_ultimate_shear,PASS
40.0,28.0,6.0,0.0006408849013323178,9.549185029851537e-08,1.9098370059703073e-07,0.02,5.043764173485341,LC2A,648.1816140150196,1.3403934440584861,LC2A,972.2724210225292,0.9151011174849053,LC2A,80.48255040686495,9.882363368618542,LC2A,120.72382561029741,7.9048387573578225,True
40.0,27.5,6.25,0.0006626797003665971,9.758994024929963e-08,1.9517988049859927e-07,0.02,5.215289241885119,LC2A,634.2463320876612,1.3918151722008392,LC2A,951.3694981314918,0.9571785764174743,LC2A,77.83556874903914,10.252443740529285,LC2A,116.75335312355872,8.207668751863558,True
40.0,27.0,6.5,0.0006840818003191776,9.957665705896026e-08,1.9915331411792052e-07,0.02,5.383723768511928,LC2A,621.5920827219885,1.4405072750556398,LC2A,932.3881240829828,0.9970224329393984,LC2A,75.40041461768286,10.615855997630826,LC2A,113.10062192652431,8.505042350071891,True
40.0,26.5,6.75,0.0007050912011900593,1.0145601362123837e-07,2.0291202724247674e-07,0.02,5.549067753365767,LC2A,610.0778006402496,1.4865681039499812,LC2A,915.1167009603744,1.0347131661414481,LC2A,73.15373002729243,10.97260013992316,LC2A,109.73059504093865,8.796959551982825,True
40.0,26.0,7.0,0.0007257079029792423,1.0323194919879721e-07,2.0646389839759442e-07,0.02,5.711321196446637,LC2A,599.5824173829848,1.5300942055994486,LC2A,899.3736260744772,1.0703297784338268,LC2A,71.07549906060798,11.322676167406293,LC2A,106.61324859091198,9.083420357596358,True
40.0,25.5,7.25,0.0007459319056867266,1.0490832942322228e-07,2.0981665884644456e-07,0.02,5.870484097754538,LC2A,590.0014040074033,1.5711803221081233,LC2A,885.0021060111047,1.103949795546177,LC2A,69.14847184206558,11.666084080080223,LC2A,103.72270776309837,9.36442476691249,True
40.0,25.0,7.5,0.000765763209312512,1.064889462950212e-07,2.129778925900424e-07,0.02,6.02655645728947,LC2A,581.2440051786502,1.6099193909685785,LC2A,871.8660077679754,1.1356492665275733,LC2A,67.35770372513004,12.00282387794495,LC2A,101.03655558769508,9.63997277993122,True
40.0,24.5,7.75,0.0007852018138565989,1.0797751818362387e-07,2.1595503636724773e-07,0.02,6.179538275051433,LC2A,573.2310085745204,1.6464025450618816,LC2A,859.8465128617804,1.1655027637465278,LC2A,65.69018367792127,12.332895561000475,LC2A,98.53527551688191,9.910064396652551,True
40.0,24.0,8.0,0.0008042477193189872,1.0937768982738223e-07,2.1875537965476446e-07,0.02,6.3294295510404295,LC2A,565.8929325482692,1.6807191126575942,LC2A,848.8393988224035,1.1935833828909876,LC2A,64.13453235547048,12.6562991292468,LC2A,96.20179853320573,10.174699617076485,True
40.0,23.5,8.25,0.0008229009256996765,1.1069303233357054e-07,2.2138606466714108e-07,0.02,6.476230285256454,LC2A,559.1685433754327,1.7129566174137723,LC2A,838.752815063149,1.2199627429683342,LC2A,62.68075507707161,12.97303458268392,LC2A,94.02113261560743,10.433878441203012,True
40.0,23.0,8.5,0.0008411614329986672,1.1192704317838514e-07,2.2385408635677029e-07,0.02,6.619940477699511,LC2A,553.0036342792035,1.7432007783769619,LC2A,829.5054514188051,1.2447109863053853,LC2A,61.32003840523042,13.283101921311838,LC2A,91.98005760784564,10.687600869032142,True
40.0,22.5,8.75,0.0008590292412159592,1.1308314620694461e-07,2.2616629241388922e-07,0.02,6.760560128369598,LC2A,547.3500139313526,1.771535509982208,LC2A,821.0250208970288,1.2678967785483946,LC2A,60.04458160640162,13.586501145130555,LC2A,90.06687240960245,10.93586690056387,True
40.0,22.0,9.0,0.0008765043503515525,1.1416469163328968e-07,2.2832938326657937e-07,0.02,6.898089237266718,LC2A,542.1646637525172,1.7980429220530452,LC2A,813.2469956287757,1.2895873086630503,LC2A,58.84745621147112,13.883232254140069,LC2A,88.27118431720668,11.178676535798202,True
40.0,21.5,9.25,0.0008935867604054469,1.151749560403833e-07,2.303499120807666e-07,0.02,7.032527804390867,LC2A,537.4090321342946,1.822803319801504,LC2A,806.1135482014417,1.3098482889344765,LC2A,57.72248836036193,14.173295248340375,LC2A,86.5837325405429,11.416029774735126,True
40.0,21.0,9.5,0.0009102764713776427,1.1611714238011053e-07,2.3223428476022105e-07,0.02,7.1638758297420475,LC2A,533.0484404202352,1.8458952038281073,LC2A,799.5726606303527,1.3287439549672317,LC2A,56.6641597342552,14.456690127731486,LC2A,84.99623960138281,11.647926617374653,True
40.0,20.5,9.75,0.0009265734832681397,1.1699437997327869e-07,2.3398875994655738e-07,0.02,7.292133313320259,LC2A,529.0515806477991,1.867395270121873,LC2A,793.5773709716988,1.346337065685312,LC2A,55.66752373977689,14.73341689231339,LC2A,83.50128560966533,11.874367063716779,True
40.0,20.0,10.0,0.000942477796076938,1.1780972450961724e-07,2.3561944901923448e-07,0.02,7.417300255125502,LC2A,525.3900890560143,1.8873784100603115,LC2A,788.0851335840215,1.3626889033321468,LC2A,54.72813427666815,15.003475542086093,LC2A,82.09220141500222,12.095351113761506,True
45.0,42.0,1.5,0.00020498892064673379,4.854393877065462e-08,9.708787754130924e-08,0.0225,1.6132628054897948,LC2A,1434.433857689724,0.05756009025278841,LC2A,2151.6507865345857,-0.134617935376536,LC2A,251.6236058697389,2.4807559304037214,LC2A,377.4354088046084,1.8482388672431238,False
45.0,41.5,1.75,0.00023777929396857718,5.568865370773443e-08,1.1137730741546886e-07,0.0225,1.8713230435327024,LC2A,1250.399582717381,0.21321217710521,LC2A,1875.599374076071,-0.00725068170955756,LC2A,216.924066497116,3.037543516972132,LC2A,325.386099745674,2.303847958076075,False
45.0,41.0,2.0,0.000270176968208722,6.257974026134523e-08,1.2515948052269046e-07,0.0225,2.126292739802642,LC2A,1112.709465834191,0.36333881087523157,LC2A,1669.064198751286,0.11559519483615976,LC2A,190.91209631395884,3.587662988731342,LC2A,286.3681444709383,2.754000652611627,True
45.0,40.5,2.25,0.00030218194336716813,6.922327299540704e-08,1.3844654599081408e-07,0.0225,2.378171894299613,LC2A,1005.9199217994793,0.5080723297399807,LC2A,1508.8798826992188,0.23402798416868587,LC2A,170.6920367303491,4.131114345681351,LC2A,256.03805509552365,3.1986969508497802,True
45.0,40.0,2.5,0.00033379421944391535,7.562525284276208e-08,1.5125050568552416e-07,0.0225,2.6269605070236137,LC2A,920.764780820277,0.6475434677774687,LC2A,1381.1471712304153,0.34815466359114344,LC2A,154.52649678118078,4.667897587822154,LC2A,231.78974517177116,3.6379368527905296,True
45.0,39.5,2.75,0.000365013796438964,8.179160710517472e-08,1.6358321421034943e-07,0.0225,2.8726585779746467,LC2A,851.3473670801411,0.7818813549665891,LC2A,1277.0210506202116,0.45808089780170924,LC2A,141.3098679548183,5.198012715153758,LC2A,211.96480193222746,4.071720358433881,True
45.0,39.0,3.0,0.00039584067435231385,8.772818945333156e-08,1.7545637890666311e-07,0.0225,3.11526610715271,LC2A,793.7365377326782,0.911213517187121,LC2A,1190.6048065990174,0.5639110388936144,LC2A,130.30508161111467,5.721459727676158,LC2A,195.45762241667205,4.5000474677798294,True
45.0,38.5,3.25,0.0004262748531839649,9.34407799268413e-08,1.868815598536826e-07,0.0225,3.354783094557804,LC2A,745.2107036431256,1.0356658762197237,LC2A,1117.8160554646884,0.6657481263551419,LC2A,121.00186297927556,6.238238625389353,LC2A,181.50279446891335,4.922918180828377,True
45.0,38.0,3.5,0.0004563163329339174,9.893508493423496e-08,1.978701698684699e-07,0.0225,3.5912095401899298,LC2A,703.8258409999951,1.1553627497459424,LC2A,1055.7387614999925,0.763693887069631,LC2A,113.03573344578622,6.748349408293349,LC2A,169.55360016867937,5.340332497579526,True
45.0,37.5,3.75,0.00048596511360217106,1.0421673725296558e-07,2.0843347450593116e-07,0.0225,3.824545444049086,LC2A,668.1562980543453,1.2704268513482053,LC2A,1002.2344470815178,0.8578487353154727,LC2A,106.13941193050796,7.2517920763881385,LC2A,159.20911789576195,5.752290418033273,True
45.0,37.0,4.0,0.0005152211951887261,1.092912960294085e-07,2.18582592058817e-07,0.0225,4.054790806135275,LC2A,637.1327991161047,1.380979290509822,LC2A,955.699198674157,0.9483117727661126,LC2A,100.11244075000272,7.74856662967373,LC2A,150.1686611250041,6.158791942189621,True
45.0,36.5,4.25,0.0005440845776935823,1.1416424677886119e-07,2.2832849355772238e-07,0.0225,4.2819456264484925,LC2A,609.9376234060803,1.4871395726149879,LC2A,914.9064351091204,1.0351807884900497,LC2A,94.8015317675955,8.238673068150117,LC2A,142.20229765139325,6.559837070048569,True
45.0,36.0,4.5,0.0005725552611167399,1.188410013855433e-07,2.376820027710866e-07,0.0225,4.506009904988742,LC2A,585.9347240969524,1.5890255989487794,LC2A,878.9020861454285,1.118552258950836,LC2A,90.08746382990643,8.7221113918173,LC2A,135.13119574485964,6.955425801610113,True
45.0,35.5,4.75,0.0006006332454581986,1.2332689810259666e-07,2.466537962051933e-07,0.0225,4.726983641756023,LC2A,564.6219148422556,1.6867536666971565,LC2A,846.9328722633833,1.1985213480070782,LC2A,85.8761178581259,9.198881600675284,LC2A,128.81417678718887,7.345558136874258,True
45.0,35.0,5.0,0.0006283185307179584,1.276272015520853e-07,2.552544031041706e-07,0.0225,4.944866836750332,LC2A,545.5974001735536,1.780438468946965,LC2A,818.3961002603302,1.275181906912437,LC2A,82.09220141500225,9.668983694724059,LC2A,123.1383021225034,7.730234075840999,True
45.0,34.5,5.25,0.0006556111168960197,1.3174710272499545e-07,2.634942054499909e-07,0.0225,5.159659489971675,LC2A,528.5358684782133,1.8701930946859324,LC2A,792.8038027173199,1.3486264743156258,LC2A,78.67476625576737,10.132417673963634,LC2A,118.01214938365106,8.109453618510342,True
45.0,34.0,5.5,0.0006825110039923824,1.356917189812355e-07,2.71383437962471e-07,0.0225,5.371361601420049,LC2A,513.1711049210988,1.956129028802668,LC2A,769.7566573816481,1.4189462762604128,LC2A,75.57394836824143,10.589183538394009,LC2A,113.36092255236215,8.483216764882286,True
45.0,33.5,5.75,0.0007090181920070462,1.39466094049636e-07,2.78932188099272e-07,0.0225,5.579973171095453,LC2A,499.28313998283653,2.038356152086667,LC2A,748.9247099742547,1.4862312261856183,LC2A,72.74855844032325,11.039281288015177,LC2A,109.12283766048488,8.851523514956828,True
45.0,33.0,6.0,0.0007351326809400114,1.430751980279497e-07,2.861503960558994e-07,0.0225,5.78549419899789,LC2A,486.68861073070855,2.1169827412283064,LC2A,730.0329160960628,1.5505699249251181,LC2A,70.16427471367714,11.482710922827147,LC2A,105.24641207051572,9.21437386873397,True
45.0,32.5,6.25,0.0007608544707912779,1.4652392738285156e-07,2.930478547657031e-07,0.0225,5.987924685127357,LC2A,475.2334352620784,2.192115468818846,LC2A,712.8501528931174,1.6120496607078412,LC2A,67.79226955561477,11.919472442829914,LC2A,101.68840433342216,9.57176782621371,True
45.0,32.0,6.5,0.0007861835615608457,1.4981710494993861e-07,2.9963420989987723e-07,0.0225,6.187264629483855,LC2A,464.78717754899714,2.2638594033504296,LC2A,697.1807663234956,1.670756409157768,LC2A,65.60815297902278,12.34956584802348,LC2A,98.41222946853418,9.923705387396051,True
45.0,31.5,6.75,0.0008111199532487146,1.5295947993373024e-07,3.059189598674605e-07,0.0225,6.383514032067383,LC2A,455.23866443853245,2.3323180092160856,LC2A,682.8579966577985,1.7267748332939368,LC2A,63.591150938757494,12.77299113840784,LC2A,95.38672640813625,10.27018655228099,True
45.0,31.0,7.0,0.0008356636458548848,1.5595572790766787e-07,3.1191145581533573e-07,0.0225,6.576672892877943,LC2A,446.4925417774298,2.3975931467097227,LC2A,669.7388126661444,1.7801882835304355,LC2A,61.72345971052801,13.189748313982998,LC2A,92.58518956579202,10.611211320868529,True
45.0,30.5,7.25,0.0008598146393793563,1.5881045081411518e-07,3.1762090162823035e-07,0.0225,6.766741211915534,LC2A,438.46654298430354,2.459785072026137,LC2A,657.6998144764552,1.8310787976764087,LC2A,59.98973384973903,13.599837374748953,LC2A,89.98460077460855,10.946779693158668,True
