journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,brace_effective_arm_mm,Mx_kNm,brace_force_abs_kN
24.0,5.0,17.0,515.780356685791,limit,LC2B,200.0,3.0023999999999997,15.011999999999999
24.0,5.0,17.0,515.780356685791,limit,LC2B,250.0,3.0023999999999997,12.009599999999999
24.0,5.0,17.0,515.780356685791,limit,LC2B,300.0,3.0023999999999997,10.008
24.0,5.0,17.0,515.780356685791,limit,LC3,150.0,3.0023999999999997,20.016
24.0,5.0,17.0,515.780356685791,limit,LC3,200.0,3.0023999999999997,15.011999999999999
24.0,5.0,17.0,515.780356685791,limit,LC3,250.0,3.0023999999999997,12.009599999999999
24.0,5.0,17.0,515.780356685791,limit,LC3,300.0,3.0023999999999997,10.008
24.0,5.0,17.0,515.780356685791,limit,LC4+,150.0,11.053672174759496,73.69114783172998
24.0,5.0,17.0,515.780356685791,limit,LC4+,200.0,11.053672174759496,55.26836087379748
24.0,5.0,17.0,515.780356685791,limit,LC4+,250.0,11.053672174759496,44.214688699037985
24.0,5.0,17.0,515.780356685791,limit,LC4+,300.0,11.053672174759496,36.84557391586499
24.0,5.0,17.0,515.780356685791,limit,LC4-,150.0,-8.391544174759497,55.943627831729984
24.0,5.0,17.0,515.780356685791,limit,LC4-,200.0,-8.391544174759497,41.957720873797484
24.0,5.0,17.0,515.780356685791,limit,LC4-,250.0,-8.391544174759497,33.56617669903799
24.0,5.0,17.0,515.780356685791,limit,LC4-,300.0,-8.391544174759497,27.971813915864992
24.0,5.0,17.0,515.780356685791,limit,LC5,150.0,1.331064,8.87376
24.0,5.0,17.0,515.780356685791,limit,LC5,200.0,1.331064,6.65532
24.0,5.0,17.0,515.780356685791,limit,LC5,250.0,1.331064,5.324256
24.0,5.0,17.0,515.780356685791,limit,LC5,300.0,1.331064,4.43688
24.0,5.0,17.0,515.780356685791,ultimate,LC0,150.0,1.3414978723404254,8.943319148936169
24.0,5.0,17.0,515.780356685791,ultimate,LC0,200.0,1.3414978723404254,6.707489361702127
24.0,5.0,17.0,515.780356685791,ultimate,LC0,250.0,1.3414978723404254,5.365991489361702
