thread_major_mm,thread_pitch_mm,thread_pitch_diameter_mm,external_thread_minor_mm,internal_thread_minor_mm,engagement_mm,engaged_threads,boss_OD_mm,boss_root_wall_mm,gland_bore_mm,gland_root_wall_mm,external_strip_area_mm2,internal_strip_area_mm2,gland_neck_area_mm2,boss_annulus_area_mm2,tau_ext_phys_MPa,tau_ext_virtual_MPa,tau_int_phys_MPa,tau_int_virtual_MPa,gland_neck_phys_MPa,gland_neck_virtual_MPa,boss_axial_phys_MPa,boss_axial_virtual_MPa,boss_hoop_virtual_MPa,boss_vm_virtual_MPa,ext_thread_virtual_MS_yield,int_thread_virtual_MS_yield,gland_neck_virtual_MS_yield,boss_pressure_virtual_MS_yield
70.0,2.0,68.700962,67.546262,67.834936,6.0,3.0,80.0,5.0,59.0,4.273130999999999,636.6085214299542,659.7344572538566,849.4061582085078,1178.0972450961724,46.956203842936894,53.134384172513606,45.31022924714888,51.27184335036081,35.19249208583872,39.822882631905365,25.373728378403378,28.71223227620206,79.21099236354573,77.70475797047025,15.483495047520172,16.0822872970589,37.093676292147855,18.522614053781595
70.0,2.0,68.700962,67.546262,67.834936,6.0,3.0,82.0,6.0,59.0,4.273130999999999,636.6085214299542,659.7344572538566,849.4061582085078,1432.5662500369456,46.956203842936894,53.134384172513606,45.31022924714888,51.27184335036081,35.19249208583872,39.822882631905365,20.866552942765935,23.612033121876692,67.00836743376335,67.13697478842542,15.483495047520172,16.0822872970589,37.093676292147855,21.59559661096816
70.0,2.0,68.700962,67.546262,67.834936,6.0,3.0,84.0,7.0,59.0,4.273130999999999,636.6085214299542,659.7344572538566,849.4061582085078,1693.3184402848985,46.956203842936894,53.134384172513606,45.31022924714888,51.27184335036081,35.19249208583872,39.822882631905365,17.653336070317746,19.97604286377694,58.30897667952078,59.603081397803884,15.483495047520172,16.0822872970589,37.093676292147855,24.451704247893044
70.0,2.0,68.700962,67.546262,67.834936,6.0,3.0,86.0,8.0,59.0,4.273130999999999,636.6085214299542,659.7344572538566,849.4061582085078,1960.3538158400308,46.956203842936894,53.134384172513606,45.31022924714888,51.27184335036081,35.19249208583872,39.822882631905365,15.24863484279049,17.25494728137143,51.79854291302322,53.96488036636099,15.483495047520172,16.0822872970589,37.093676292147855,27.11087488198384
70.0,2.0,68.700962,67.546262,67.834936,6.0,3.0,88.0,9.0,59.0,4.273130999999999,636.6085214299542,659.7344572538566,849.4061582085078,2233.6723767023427,46.956203842936894,53.134384172513606,45.31022924714888,51.27184335036081,35.19249208583872,39.822882631905365,13.382768132069293,15.143582424157204,46.74693754175871,49.590061784952006,15.483495047520172,16.0822872970589,37.093676292147855,29.590806814851163
70.0,2.0,68.700962,67.546262,67.834936,8.0,4.0,80.0,5.0,59.0,4.273130999999999,848.8113619066056,879.645943005142,849.4061582085078,1178.0972450961724,35.21715288220267,39.85078812938521,33.982671935361665,38.45388251277061,35.19249208583872,39.822882631905365,25.373728378403378,28.71223227620206,79.21099236354573,77.70475797047025,20.977993396693563,21.776383062745197,37.093676292147855,18.522614053781595
70.0,2.0,68.700962,67.546262,67.834936,8.0,4.0,82.0,6.0,59.0,4.273130999999999,848.8113619066056,879.645943005142,849.4061582085078,1432.5662500369456,35.21715288220267,39.85078812938521,33.982671935361665,38.45388251277061,35.19249208583872,39.822882631905365,20.866552942765935,23.612033121876692,67.00836743376335,67.13697478842542,20.977993396693563,21.776383062745197,37.093676292147855,21.59559661096816
70.0,2.0,68.700962,67.546262,67.834936,8.0,4.0,84.0,7.0,59.0,4.273130999999999,848.8113619066056,879.645943005142,849.4061582085078,1693.3184402848985,35.21715288220267,39.85078812938521,33.982671935361665,38.45388251277061,35.19249208583872,39.822882631905365,17.653336070317746,19.97604286377694,58.30897667952078,59.603081397803884,20.977993396693563,21.776383062745197,37.093676292147855,24.451704247893044
70.0,2.0,68.700962,67.546262,67.834936,8.0,4.0,86.0,8.0,59.0,4.273130999999999,848.8113619066056,879.645943005142,849.4061582085078,1960.3538158400308,35.21715288220267,39.85078812938521,33.982671935361665,38.45388251277061,35.19249208583872,39.822882631905365,15.24863484279049,17.25494728137143,51.79854291302322,53.96488036636099,20.977993396693563,21.776383062745197,37.093676292147855,27.11087488198384
70.0,2.0,68.700962,67.546262,67.834936,8.0,4.0,88.0,9.0,59.0,4.273130999999999,848.8113619066056,879.645943005142,849.4061582085078,2233.6723767023427,35.21715288220267,39.85078812938521,33.982671935361665,38.45388251277061,35.19249208583872,39.822882631905365,13.382768132069293,15.143582424157204,46.74693754175871,49.590061784952006,20.977993396693563,21.776383062745197,37.093676292147855,29.590806814851163
