upper_OD_mm,taper_start_A_mm,transition_length_mm,maximum_geometric_half_angle_deg,Kt_peak_capacity,passes_Kt_peak_2p0,annular_closure_MS_ultimate_Kt3,annular_closure_PASS_Kt3,solid_neck_MS_ultimate_Kt3,solid_neck_PASS_Kt3,head_width_reserve_each_side_mm,head_fit_PASS,added_annular_mass_kg_vs_74mm,ELIGIBLE_FOR_NEXT_DETAIL_STEP
102.0,275.0,698.780356685791,1.721355401408711,1.57843017578125,False,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.644495106203208,False
102.0,300.0,673.780356685791,1.785184120478301,1.5059814453125,False,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.514107373536636,False
102.0,325.0,648.780356685791,1.8539270089814206,1.43096923828125,False,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.3837196736286987,False
102.0,350.0,623.780356685791,1.9281740774229965,1.3519287109375,False,0.018981677643556294,True,0.19927591407717493,True,6.5,True,3.253331938911919,False
104.0,275.0,698.780356685791,1.844227278702398,1.60980224609375,False,0.0948467172723626,True,0.2711074417948922,True,5.5,True,3.9391849130387016,False
104.0,300.0,673.780356685791,1.912605720341083,1.5347900390625,False,0.0948467172723626,True,0.2711074417948922,True,5.5,True,3.7982541736845303,False
104.0,325.0,648.780356685791,1.9862478286736236,1.45599365234375,False,0.0948467172723626,True,0.2711074417948922,True,5.5,True,3.657323470117116,False
104.0,350.0,623.780356685791,2.0657854425287785,1.372802734375,False,0.0948467172723626,True,0.2711074417948922,True,5.5,True,3.5163927285232273,False
106.0,275.0,698.780356685791,1.9670821894460577,1.64019775390625,False,0.17340154133581454,True,0.3457472142660667,True,4.5,True,4.238457216916993,False
106.0,300.0,673.780356685791,2.0400083970976794,1.56109619140625,False,0.17340154133581454,True,0.3457472142660667,True,4.5,True,4.086819524580368,False
106.0,325.0,648.780356685791,2.118547456059601,1.480224609375,False,0.17340154133581454,True,0.3457472142660667,True,4.5,True,3.9351818711503825,False
106.0,350.0,623.780356685791,2.2033729684872907,1.3936767578125,False,0.17340154133581454,True,0.3457472142660667,True,4.5,True,3.7835441763787867,False
108.0,275.0,698.780356685791,2.089919007700151,1.670654296875,False,0.25470748619312555,True,0.42324875783856686,True,3.5,True,4.542312017838079,False
108.0,300.0,673.780356685791,2.1673908954016827,1.58746337890625,False,0.25470748619312555,True,0.42324875783856686,True,3.5,True,4.3798034262241465,False
108.0,325.0,648.780356685791,2.250824485799814,1.50238037109375,False,0.25470748619312555,True,0.42324875783856686,True,3.5,True,4.217294876728498,False
108.0,350.0,623.780356685791,2.3409350751242246,1.414306640625,False,0.25470748619312555,True,0.42324875783856686,True,3.5,True,4.054786282478597,False
110.0,275.0,698.780356685791,2.212736608522003,1.69879150390625,False,0.3388253189392336,True,0.5036655809437349,True,2.5,True,4.850749315801965,False
110.0,300.0,673.780356685791,2.2947519611021936,1.61383056640625,False,0.3388253189392336,True,0.5036655809437349,True,2.5,True,4.677205878615866,False
110.0,325.0,648.780356685791,2.383077513998299,1.52459716796875,False,0.3388253189392336,True,0.5036655809437349,True,2.5,True,4.5036624868514625,False
110.0,350.0,623.780356685791,2.478470184021277,1.43231201171875,False,0.3388253189392336,True,0.5036655809437349,True,2.5,True,4.33011904682266,False
112.0,275.0,698.780356685791,2.335533868027305,1.72650146484375,False,0.4258152860658948,True,0.58705117410388,True,1.5,True,5.163769110808648,False
112.0,300.0,673.780356685791,2.4220903413175088,1.638427734375,False,0.4258152860658948,True,0.58705117410388,True,1.5,True,4.979026881755528,False
112.0,325.0,648.780356685791,2.5153051382915437,1.54681396484375,False,0.4258152860658948,True,0.58705117410388,True,1.5,True,4.794284701519275,False
112.0,350.0,623.780356685791,2.6159767186241254,1.45025634765625,False,0.4258152860658948,True,0.58705117410388,True,1.5,True,4.609542469410974,False
