upper_OD_mm,taper_start_A_mm,Kt_peak_sensitivity,station_A_mm,station_U_mm,profile_OD_mm,local_Kt_sensitivity,limit_case,limit_vm_MPa,MS_limit,ultimate_case,ultimate_vm_MPa,MS_ultimate,station_PASS
90.0,300.0,1.25,250.0,-225.0,74.0,1.0,LC4+,292.37427177639455,0.7203976155080098,LC4+,438.56140766459185,0.3042643287880471,True
90.0,300.0,1.25,260.0,-215.0,74.0,1.0,LC4+,297.07034420784856,0.6932016601699915,LC4+,445.6055163117729,0.28364658663649456,True
90.0,300.0,1.25,270.0,-205.0,74.0,1.0,LC4+,301.7683884424068,0.6668412572843054,LC4+,452.6525826636101,0.26366229180466916,True
90.0,300.0,1.25,280.0,-195.0,74.0,1.0,LC4+,306.46831379907775,0.641278975188833,LC4+,459.70247069861665,0.24428306667728616,True
90.0,300.0,1.25,290.0,-185.0,74.0,1.0,LC4+,311.1700350402296,0.6164795557354026,LC4+,466.7550525603445,0.22548218141901932,True
90.0,300.0,1.25,300.0,-175.0,74.0,1.0,LC4+,315.87347197159596,0.5924097609729977,LC4+,473.81020795739386,0.20723443774228612,True
90.0,300.0,1.25,310.0,-165.0,74.01046853848635,1.0146213578115921,LC4+,324.64369841261714,0.5493909244487929,LC4+,486.9655476189257,0.17462108520173558,True
90.0,300.0,1.25,320.0,-155.0,74.04145569299864,1.0288021675513914,LC4+,332.65802958562284,0.5120633060520574,LC4+,498.9870443784343,0.14632234733171212,True
90.0,300.0,1.25,330.0,-145.0,74.0923337721168,1.042542429219398,LC4+,339.88585413659257,0.47990860425116577,LC4+,509.82878120488886,0.12194529043295788,True
90.0,300.0,1.25,340.0,-135.0,74.16247508442073,1.055842142815612,LC4+,346.30841830423907,0.4524625259271178,LC4+,519.4626274563589,0.10113792555375878,True
90.0,300.0,1.25,350.0,-125.0,74.25125193849033,1.068701308340033,LC4+,351.91841436110855,0.42930855412375335,LC4+,527.877621541663,0.08358448370945881,True
90.0,300.0,1.25,360.0,-115.0,74.35803664290549,1.0811199257926611,LC4+,356.7192482086073,0.41007249405798407,LC4+,535.0788723129109,0.06900128111486681,True
90.0,300.0,1.25,370.0,-105.0,74.48220150624613,1.0930979951734967,LC4+,360.72405182774895,0.39441769255849324,LC4+,541.0860777416236,0.05713309495488117,True
