journal_diameter_mm,support_span_mm,bearing_width_mm,root_clearance_mm,root_lever_mm,head_root_to_root_width_mm,half_head_engagement_mm,boss_extension_each_side_vs_74mm_barrel_mm,ligament_mm,station_above_U_mm,station_above_E2_boundary_mm,level,governing_radial_case,per_journal_radial_reaction_kN,governing_thrust_case,full_locating_journal_thrust_kN,journal_root_bending_moment_kNm,journal_interface_resultant_force_kN,moment_transfer_force_couple_requirement_kN,force_only_avg_projected_shaft_head_pressure_MPa,governing_brace_case,brace_effective_arm_mm,brace_force_abs_kN,contact_pressure_interpretation
36.0,120.0,25.0,5.0,17.5,85.0,42.5,5.5,15.0,531.780356685791,33.00000000000006,ultimate,LC5,140.0386127188482,LC5,13.31064,2.450675722579844,140.66977710023272,57.662958178349264,91.52850504499884,LC4+,250.0,67.12267304855699,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,25.0,5.0,17.5,85.0,42.5,5.5,20.0,536.780356685791,38.00000000000006,limit,LC5,93.7271477442069,LC5,8.87376,1.6402250855236207,94.14627895356242,38.59353142408519,61.259573689024116,LC4+,250.0,44.91524869903799,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,25.0,5.0,17.5,85.0,42.5,5.5,20.0,536.780356685791,38.00000000000006,ultimate,LC5,140.59072161631033,LC5,13.31064,2.4603376282854312,141.2194184303436,57.89029713612779,91.88936053353616,LC4+,250.0,67.37287304855698,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,30.0,5.0,20.0,80.0,40.0,3.0,5.0,521.780356685791,23.000000000000057,limit,LC5,92.62296979566986,LC5,8.87376,1.8524593959133973,93.04707491537373,46.31148489783493,64.32150680254851,LC4+,250.0,44.41484869903798,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,30.0,5.0,20.0,80.0,40.0,3.0,5.0,521.780356685791,23.000000000000057,ultimate,LC5,138.9344546935048,LC5,13.31064,2.7786890938700957,139.57061237306058,69.4672273467524,96.48226020382276,LC4+,250.0,66.62227304855698,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,30.0,5.0,20.0,80.0,40.0,3.0,10.0,526.780356685791,28.000000000000057,limit,LC5,92.99101577714902,LC5,8.87376,1.8598203155429802,93.41344995129758,46.4955078885745,64.57709428968681,LC4+,250.0,44.581648699037984,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,30.0,5.0,20.0,80.0,40.0,3.0,10.0,526.780356685791,28.000000000000057,ultimate,LC5,139.48652366572352,LC5,13.31064,2.7897304733144708,140.12017492694636,69.74326183286176,96.86564143453023,LC4+,250.0,66.87247304855698,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,30.0,5.0,20.0,80.0,40.0,3.0,15.0,531.780356685791,33.00000000000006,limit,LC5,93.35907514589884,LC5,8.87376,1.8671815029179768,93.77985140015518,46.67953757294942,64.83269107354086,LC4+,250.0,44.74844869903799,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,30.0,5.0,20.0,80.0,40.0,3.0,15.0,531.780356685791,33.00000000000006,ultimate,LC5,140.0386127188482,LC5,13.31064,2.800772254376964,140.66977710023272,70.0193063594241,97.24903661031126,LC4+,250.0,67.12267304855699,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,30.0,5.0,20.0,80.0,40.0,3.0,20.0,536.780356685791,38.00000000000006,limit,LC5,93.7271477442069,LC5,8.87376,1.874542954884138,94.14627895356242,46.863573872103444,65.08829704458813,LC4+,250.0,44.91524869903799,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
36.0,120.0,30.0,5.0,20.0,80.0,40.0,3.0,20.0,536.780356685791,38.00000000000006,ultimate,LC5,140.59072161631033,LC5,13.31064,2.811814432326207,141.2194184303436,70.29536080815517,97.63244556688217,LC4+,250.0,67.37287304855698,LOWER_BOUND_FORCE_ONLY; journal-root moment transfer requires nonuniform/reversing 3D contact or positive mechanical capture.
