state,compression_mm,gas_volume_cm3,gas_pressure_abs_MPa,pin_volume_above_orifice_cm3,pin_volume_increment_from_extension_cm3,upper_oil_volume_cm3,oil_transfer_from_lower_to_upper_cm3,phase1_equivalent_swept_volume_cm3,swept_minus_transfer_minus_pin_increment_cm3,lower_reservoir_remaining_cm3,fixed_cavity_volume_residual_cm3,upper_oil_positive,lower_reservoir_positive
FULL_EXTENSION,0.0,924.7277975841556,2.336,1.0589845332525063,0.0,80.42477193189875,4.263256414560601e-14,0.0,-4.263256414560601e-14,824.6680715673208,0.0,True,True
LC0_STATIC_EQUILIBRIUM,55.368378326996535,778.4401445952133,2.9221205810574595,5.035236309927456,3.97625177667495,222.73617314416614,142.31140121226744,146.2876529889423,-7.860379014346108e-14,682.3566703550533,0.0,True,True
PHASE2D_NOMINAL_REFERENCE,206.33800000000008,379.56641387581385,7.433901724040281,16.548355814491522,15.489371281239016,610.0967843590015,529.6720124271028,545.1613837083418,-5.684341886080802e-14,294.996059140218,0.0,True,True
FULL_PHYSICAL_STROKE,230.0,317.04953060028186,9.393461857325455,18.427085463094805,17.3681009298423,670.7349379859302,590.3101660540315,607.6782669838738,-1.4210854715202004e-14,234.35790551328932,0.0,True,True
VIRTUAL_DIAGNOSTIC,240.779,288.57055651411144,10.61605849958572,19.282922961285404,18.2239384280329,698.35807457391,617.9333026420113,636.1572410700442,-4.618527782440651e-14,206.73476892530948,0.0,True,True
