edge_ligament_mm,head_height_mm,governing_case,governing_side,ultimate_Rz_kN,ultimate_net_z_MPa,MS_net_z,ultimate_shearout_z_MPa,MS_shearout_z,STATIC_PASS
15.0,68.0,LC5,LEFT,113.71992820732319,71.52196742598943,6.997542861106313,71.52196742598943,3.6173835237153,True
20.0,78.0,LC5,LEFT,113.71992820732319,53.64147556949207,9.663390481475084,53.64147556949207,5.156511364953733,True
25.0,88.0,LC5,LEFT,113.71992820732319,42.913180455593654,12.329238101843856,42.913180455593654,6.695639206192167,True
30.0,98.0,LC5,LEFT,113.71992820732319,35.760983712994715,14.995085722212625,35.760983712994715,8.2347670474306,True
35.0,108.0,LC5,LEFT,113.71992820732319,30.652271753995468,17.660933342581398,30.652271753995468,9.773894888669034,True
